"","Term","Ont","N","DE","P.DE","FDR"
"GO:0031967","organelle envelope","CC",1050,718,1.22401780299814e-14,2.62833342837791e-10
"GO:0044428","nuclear part","CC",3873,2417,2.33758509480303e-14,5.01902895705159e-10
"GO:0044238","primary metabolic process","BP",8232,4938,2.75526817680926e-14,5.91556077560949e-10
"GO:0005739","mitochondrion","CC",1410,939,3.32204345541424e-14,7.13209509442883e-10
"GO:0044429","mitochondrial part","CC",937,645,3.96570000161644e-14,8.51356476347018e-10
"GO:0044464","cell part","CC",12368,7243,5.05052718426234e-14,1.0841966706456e-09
"GO:0003824","catalytic activity","MF",4679,2887,5.53597200825711e-14,1.18835175129247e-09
"GO:1901566","organonitrogen compound biosynthetic process","BP",1572,1037,5.92904568270948e-14,1.27266965579359e-09
"GO:0002263","cell activation involved in immune response","BP",619,442,8.66313938344904e-14,1.8594562372635e-09
"GO:0002366","leukocyte activation involved in immune response","BP",616,439,1.74394313200848e-13,3.74302514422979e-09
"GO:0005840","ribosome","CC",194,159,1.74764227397989e-13,3.75078984841564e-09
"GO:0044419","interspecies interaction between organisms","BP",799,555,2.22193084201018e-13,4.76848578003806e-09
"GO:0044403","symbiont process","BP",775,539,3.57464268990104e-13,7.67118321252763e-09
"GO:0006396","RNA processing","BP",845,582,6.57761349579574e-13,1.41149008006281e-08
"GO:0002274","myeloid leukocyte activation","BP",571,408,6.90199981043024e-13,1.48103111932212e-08
"GO:0002444","myeloid leukocyte mediated immunity","BP",496,359,1.05144153462677e-12,2.25607810084866e-08
"GO:0034655","nucleobase-containing compound catabolic process","BP",549,393,1.21221940939141e-12,2.60093796479022e-08
"GO:0043299","leukocyte degranulation","BP",481,349,1.27767622391454e-12,2.74125433840864e-08
"GO:0005730","nucleolus","CC",844,580,1.36750856520091e-12,2.93385287578203e-08
"GO:0031981","nuclear lumen","CC",3560,2218,1.46618553871395e-12,3.14540783620303e-08
"GO:0002275","myeloid cell activation involved in immune response","BP",487,352,2.38095843851504e-12,5.10763204230247e-08
"GO:0036230","granulocyte activation","BP",458,333,2.73470912683975e-12,5.86622454798396e-08
"GO:0016032","viral process","BP",738,512,2.76287130264203e-12,5.92635894416715e-08
"GO:0016072","rRNA metabolic process","BP",237,186,3.8745780474417e-12,8.31058245395769e-08
"GO:0042119","neutrophil activation","BP",452,328,6.00027925341855e-12,1.28693989427321e-07
"GO:0006807","nitrogen compound metabolic process","BP",7890,4721,6.41087522549801e-12,1.37494040961256e-07
"GO:0006139","nucleobase-containing compound metabolic process","BP",4720,2891,9.85743983293059e-12,2.11402654657029e-07
"GO:0006364","rRNA processing","BP",199,159,1.02885279914498e-11,2.20637482776641e-07
"GO:0046700","heterocycle catabolic process","BP",581,410,1.12241682242108e-11,2.40691063399976e-07
"GO:0006955","immune response","BP",1627,1057,1.19954480853963e-11,2.57218393295153e-07
"GO:1990904","ribonucleoprotein complex","CC",760,523,1.3092962098449e-11,2.80739293314943e-07
"GO:0006402","mRNA catabolic process","BP",304,229,2.65526759403057e-11,5.69315924836095e-07
"GO:0046483","heterocycle metabolic process","BP",4842,2958,2.67900363590224e-11,5.7437837953744e-07
"GO:0002446","neutrophil mediated immunity","BP",451,325,3.07786696753068e-11,6.59863899168903e-07
"GO:0002283","neutrophil activation involved in immune response","BP",442,319,3.48497385406565e-11,7.47108694834595e-07
"GO:0043312","neutrophil degranulation","BP",439,317,3.62998863235581e-11,7.78160663118115e-07
"GO:0002376","immune system process","BP",2327,1475,3.69788330356125e-11,7.92678264951389e-07
"GO:0045321","leukocyte activation","BP",1039,694,4.71926771106799e-11,1.01157503386742e-06
"GO:0006401","RNA catabolic process","BP",334,248,5.2735341616807e-11,1.13032931221464e-06
"GO:0043232","intracellular non-membrane-bounded organelle","CC",3476,2155,5.64330912255132e-11,1.20953044423643e-06
"GO:0043228","non-membrane-bounded organelle","CC",3485,2160,6.10638738678941e-11,1.30872094473671e-06
"GO:0019439","aromatic compound catabolic process","BP",594,415,7.84839838663892e-11,1.68199025824059e-06
"GO:0044270","cellular nitrogen compound catabolic process","BP",584,408,1.14761305623465e-10,2.45933477951085e-06
"GO:0044281","small molecule metabolic process","BP",1735,1116,1.14890536385325e-10,2.46198930420112e-06
"GO:0003735","structural constituent of ribosome","MF",132,110,1.29004844589295e-10,2.76431580985942e-06
"GO:0031090","organelle membrane","CC",2460,1550,1.37591644211848e-10,2.94817616052727e-06
"GO:0002252","immune effector process","BP",1001,668,1.44948023562032e-10,3.10565635284011e-06
"GO:0022618","ribonucleoprotein complex assembly","BP",210,164,1.48068518008382e-10,3.17236799832958e-06
"GO:1901361","organic cyclic compound catabolic process","BP",615,427,1.63741758887094e-10,3.5080034423971e-06
"GO:0009056","catabolic process","BP",2163,1372,1.67847502048869e-10,3.59579703639293e-06
"GO:0005488","binding","MF",11351,6657,1.8694785062804e-10,4.00479685615386e-06
"GO:0044391","ribosomal subunit","CC",158,128,1.88180662156158e-10,4.03101796404705e-06
"GO:0006725","cellular aromatic compound metabolic process","BP",4867,2964,1.9890531222343e-10,4.26055178782587e-06
"GO:0072594","establishment of protein localization to organelle","BP",462,329,2.36454483430566e-10,5.06461858059929e-06
"GO:1901575","organic substance catabolic process","BP",1785,1144,2.3664645007121e-10,5.06849366762517e-06
"GO:0002443","leukocyte mediated immunity","BP",686,471,2.41099786310124e-10,5.16363412340393e-06
"GO:0031966","mitochondrial membrane","CC",626,433,2.75618764850025e-10,5.90265146802813e-06
"GO:1901360","organic cyclic compound metabolic process","BP",5021,3052,2.83325646522921e-10,6.06741872028836e-06
"GO:0034613","cellular protein localization","BP",1584,1022,2.97523415542936e-10,6.37116642043642e-06
"GO:0006886","intracellular protein transport","BP",956,638,3.84474590755672e-10,8.2327544118512e-06
"GO:0008150","biological_process","BP",12636,7362,3.86337184341305e-10,8.27225179111603e-06
"GO:0033365","protein localization to organelle","BP",789,534,4.81194467559292e-10,1.0302854744912e-05
"GO:0005740","mitochondrial envelope","CC",666,457,5.12371517782102e-10,1.09698741957148e-05
"GO:0097159","organic cyclic compound binding","MF",4800,2920,6.17572536594772e-10,1.32216104359575e-05
"GO:0003674","molecular_function","MF",12685,7387,6.57159389064432e-10,1.40684682010914e-05
"GO:0032991","protein-containing complex","CC",4322,2641,6.70180213183741e-10,1.43465478236243e-05
"GO:0055086","nucleobase-containing small molecule metabolic process","BP",686,469,6.76365883582941e-10,1.44782881039764e-05
"GO:0070062","extracellular exosome","CC",1636,1051,6.79425659494505e-10,1.45431062414799e-05
"GO:0032543","mitochondrial translation","BP",131,108,6.87762982269159e-10,1.47208788724891e-05
"GO:0070727","cellular macromolecule localization","BP",1593,1025,6.88049140449095e-10,1.4726315753032e-05
"GO:1901363","heterocyclic compound binding","MF",4750,2890,7.54869461940192e-10,1.6155716224444e-05
"GO:0010608","posttranscriptional regulation of gene expression","BP",514,360,9.09028396041194e-10,1.94541167036776e-05
"GO:0044248","cellular catabolic process","BP",1954,1241,1.0064297763087e-09,2.15375972130061e-05
"GO:0009987","cellular process","BP",11656,6819,1.20169447448191e-09,2.57150600594384e-05
"GO:0016071","mRNA metabolic process","BP",720,489,1.26380742655688e-09,2.70429513134642e-05
"GO:0005759","mitochondrial matrix","CC",435,309,1.30433680514667e-09,2.79088946197232e-05
"GO:0043230","extracellular organelle","CC",1651,1057,1.85785550318097e-09,3.97506763460601e-05
"GO:1903561","extracellular vesicle","CC",1648,1055,1.97797038420659e-09,4.23186763700999e-05
"GO:0044085","cellular component biogenesis","BP",2683,1672,2.51462523530785e-09,5.37978922841762e-05
"GO:0071826","ribonucleoprotein complex subunit organization","BP",222,169,2.72949524262706e-09,5.83920917255208e-05
"GO:0009117","nucleotide metabolic process","BP",606,416,2.89826624000143e-09,6.19997114061106e-05
"GO:0006753","nucleoside phosphate metabolic process","BP",611,419,3.11511615661102e-09,6.66354497060663e-05
"GO:0000956","nuclear-transcribed mRNA catabolic process","BP",172,135,3.43229589821731e-09,7.34168092628683e-05
"GO:0019866","organelle inner membrane","CC",480,336,3.68075854529763e-09,7.8727744525371e-05
"GO:0140098","catalytic activity, acting on RNA","MF",346,250,3.94671136195784e-09,8.44122626095542e-05
"GO:0042255","ribosome assembly","BP",51,48,4.07384171022804e-09,8.71272526566471e-05
"GO:1901564","organonitrogen compound metabolic process","BP",5383,3249,4.6856291781195e-09,0.000100206865603264
"GO:0140053","mitochondrial gene expression","BP",157,124,7.41681960158164e-09,0.000158608687179823
"GO:0005634","nucleus","CC",5955,3577,8.11486014998045e-09,0.000173528169447182
"GO:0046907","intracellular transport","BP",1576,1006,1.20513356579168e-08,0.000257693710373236
"GO:0005515","protein binding","MF",9234,5447,2.17435887699524e-08,0.000464921415079122
"GO:0019080","viral gene expression","BP",163,127,2.25325374360049e-08,0.000481768182919221
"GO:0042273","ribosomal large subunit biogenesis","BP",60,54,2.87914207198638e-08,0.000615560574990688
"GO:0044433","cytoplasmic vesicle part","CC",1246,804,2.97457492742242e-08,0.00063593437373364
"GO:0001775","cell activation","BP",1157,750,2.97778940190059e-08,0.000636591818338308
"GO:0005743","mitochondrial inner membrane","CC",430,300,4.2852941023352e-08,0.000916067320256196
"GO:0022626","cytosolic ribosome","CC",78,67,4.86758034740847e-08,0.00104049397506204
"GO:0019637","organophosphate metabolic process","BP",982,642,4.98604827547737e-08,0.00106576781888329
"GO:0002181","cytoplasmic translation","BP",85,72,5.31366172467381e-08,0.00113574205703178
"GO:0016020","membrane","CC",6646,3965,5.47873117175048e-08,0.00117096921333823
"GO:0010467","gene expression","BP",4301,2608,5.90272252688366e-08,0.00126152985844557
"GO:0019083","viral transcription","BP",150,117,7.18161652521287e-08,0.00153478326760324
"GO:0043038","amino acid activation","BP",45,42,8.05086266615866e-08,0.00172046935175811
"GO:0031982","vesicle","CC",3004,1847,8.6150723467817e-08,0.00184095480978378
"GO:0015031","protein transport","BP",1654,1045,1.25898772611494e-07,0.0026902049731624
"GO:0043039","tRNA aminoacylation","BP",44,41,1.31729560990257e-07,0.00281466552967882
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP",93,77,1.37609194201291e-07,0.00294015804330479
"GO:0051641","cellular localization","BP",2438,1511,1.39249871126102e-07,0.00297507349660916
"GO:0044265","cellular macromolecule catabolic process","BP",980,638,1.3925579467697e-07,0.00297507349660916
"GO:0008104","protein localization","BP",2285,1420,1.53412999312309e-07,0.00327736190430886
"GO:0034248","regulation of cellular amide metabolic process","BP",355,250,1.64412628313442e-07,0.00351218256603174
"GO:0045184","establishment of protein localization","BP",1750,1101,1.86567087188804e-07,0.00398525954944004
"GO:0006413","translational initiation","BP",156,120,1.98573029132548e-07,0.00424151990227122
"GO:0043933","protein-containing complex subunit organization","BP",1831,1149,2.04665371675162e-07,0.00437144767360979
"GO:0006399","tRNA metabolic process","BP",183,138,2.09383036855124e-07,0.00447200290115174
"GO:0098798","mitochondrial protein complex","CC",250,182,2.14750840239515e-07,0.00458643369499533
"GO:0006605","protein targeting","BP",367,257,2.40370515749066e-07,0.00513335273433706
"GO:0015833","peptide transport","BP",1678,1057,2.44463031407745e-07,0.00522050803571239
"GO:1901265","nucleoside phosphate binding","MF",1814,1138,2.5786732247818e-07,0.00550649880419906
"GO:0051704","multi-organism process","BP",1895,1186,2.76740660597063e-07,0.00590924332572908
"GO:0000166","nucleotide binding","MF",1813,1137,2.87206189288219e-07,0.00613242655368206
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane","BP",70,60,2.92154531924544e-07,0.00623779141112095
"GO:0045055","regulated exocytosis","BP",675,449,3.1122040935094e-07,0.00664455573964256
"GO:0034622","cellular protein-containing complex assembly","BP",923,601,3.16339273496937e-07,0.00675352714988611
"GO:0006952","defense response","BP",1225,784,3.28665793021158e-07,0.00701635734941568
"GO:0071705","nitrogen compound transport","BP",1922,1201,3.65430584802019e-07,0.0078008466937687
"GO:0042886","amide transport","BP",1699,1068,3.73694641462273e-07,0.00797688581665368
"GO:0016874","ligase activity","MF",129,101,4.00737385083923e-07,0.00855373948461634
"GO:0006950","response to stress","BP",3095,1892,5.43542099480787e-07,0.0116013625713179
"GO:0006418","tRNA aminoacylation for protein translation","BP",41,38,5.714867727205e-07,0.0121972421901736
"GO:0044267","cellular protein metabolic process","BP",4131,2497,6.11553494178687e-07,0.0130517746727615
"GO:0015934","large ribosomal subunit","CC",102,82,6.59302036543623e-07,0.0140701647618774
"GO:1902579","multi-organism localization","BP",68,58,6.61468763927037e-07,0.014115743422203
"GO:0044766","multi-organism transport","BP",68,58,6.61468763927037e-07,0.014115743422203
"GO:0006163","purine nucleotide metabolic process","BP",485,329,8.0758771623635e-07,0.0172323066890512
"GO:0043170","macromolecule metabolic process","BP",7243,4292,8.47554779965493e-07,0.0180842763401237
"GO:0070125","mitochondrial translational elongation","BP",88,72,8.81100869031953e-07,0.0187991681416657
"GO:0003676","nucleic acid binding","MF",3186,1943,8.86630327505943e-07,0.0189162580373393
"GO:0033036","macromolecule localization","BP",2543,1565,8.88005427644019e-07,0.0189447077933575
"GO:0055114","oxidation-reduction process","BP",831,542,9.05484216204556e-07,0.0193166947842918
"GO:0006887","exocytosis","BP",769,504,9.42242418376221e-07,0.0200999152688015
"GO:0000323","lytic vacuole","CC",592,395,9.9793339654578e-07,0.021286917281718
"GO:0060205","cytoplasmic vesicle lumen","CC",283,201,1.01309056385735e-06,0.0216092217270772
"GO:0031983","vesicle lumen","CC",283,201,1.01309056385735e-06,0.0216092217270772
"GO:1901293","nucleoside phosphate biosynthetic process","BP",330,231,1.01477656669876e-06,0.0216431546145512
"GO:0009165","nucleotide biosynthetic process","BP",327,229,1.07089725622554e-06,0.0228390257835222
"GO:0019693","ribose phosphate metabolic process","BP",494,334,1.08127701558424e-06,0.0230593136343495
"GO:0006417","regulation of translation","BP",302,213,1.11631439324411e-06,0.0238054044359306
"GO:0072521","purine-containing compound metabolic process","BP",515,347,1.11813062489529e-06,0.0238430174452673
"GO:0005654","nucleoplasm","CC",3057,1866,1.16684961969148e-06,0.0248807344406814
"GO:0005764","lysosome","CC",591,394,1.17606137195114e-06,0.0250759805727423
"GO:0036094","small molecule binding","MF",2075,1287,1.21334615339547e-06,0.0258697533365448
"GO:0065003","protein-containing complex assembly","BP",1559,980,1.22110311538632e-06,0.0260339184200363
"GO:0075733","intracellular transport of virus","BP",55,48,1.50910928556012e-06,0.0321727008588562
"GO:0051186","cofactor metabolic process","BP",509,342,1.99751386201881e-06,0.0425830005105171
"GO:0009259","ribonucleotide metabolic process","BP",476,321,2.49676378632637e-06,0.0532235136331191
"GO:0012505","endomembrane system","CC",3534,2141,2.64564347388108e-06,0.0563945362892491
"GO:0051649","establishment of localization in cell","BP",1858,1155,2.66108192350617e-06,0.056720961199534
"GO:0006414","translational elongation","BP",123,95,2.66446849677732e-06,0.0567904815403118
"GO:0034774","secretory granule lumen","CC",270,191,2.87575930307972e-06,0.061291058026538
"GO:0009057","macromolecule catabolic process","BP",1169,743,3.03833603239844e-06,0.0647530175224756
"GO:0046794","transport of virus","BP",57,49,3.09239803578038e-06,0.0659020945405156
"GO:0005773","vacuole","CC",673,442,3.20398984034491e-06,0.0682770234977501
"GO:0051188","cofactor biosynthetic process","BP",286,201,3.27619792388885e-06,0.0698125015601474
"GO:0097708","intracellular vesicle","CC",1895,1176,3.34562916200512e-06,0.0712886661840051
"GO:0006732","coenzyme metabolic process","BP",354,244,3.42383035528025e-06,0.0729515533799563
"GO:0031410","cytoplasmic vesicle","CC",1892,1174,3.52484865240479e-06,0.0751004253881365
"GO:0016192","vesicle-mediated transport","BP",1690,1054,3.52828158828847e-06,0.0751700392384859
"GO:0019058","viral life cycle","BP",291,204,3.65204599653235e-06,0.0778031879101252
"GO:0006613","cotranslational protein targeting to membrane","BP",74,61,3.74453714357342e-06,0.0797698747695446
"GO:0034097","response to cytokine","BP",929,597,4.37766935131297e-06,0.0932531125216689
"GO:0044445","cytosolic part","CC",195,142,4.40329994854726e-06,0.0937946922040051
"GO:1901576","organic substance biosynthetic process","BP",4889,2926,4.40968169820967e-06,0.093926220171866
"GO:0009150","purine ribonucleotide metabolic process","BP",462,311,4.52634705989914e-06,0.0964066660287918
"GO:0030684","preribosome","CC",70,58,4.7041016336415e-06,0.100187956593297
"GO:0009058","biosynthetic process","BP",4945,2958,4.73326766156695e-06,0.100804401388391
"GO:0090304","nucleic acid metabolic process","BP",4144,2493,4.93326444451607e-06,0.105058799610414
"GO:0043168","anion binding","MF",2270,1396,5.05647067917906e-06,0.107677543113118
"GO:0051234","establishment of localization","BP",4059,2443,5.43626837610636e-06,0.115759898800809
"GO:0090407","organophosphate biosynthetic process","BP",589,389,5.61412515653292e-06,0.119541566958056
"GO:0045087","innate immune response","BP",715,466,6.02839233523949e-06,0.128356529601919
"GO:0070126","mitochondrial translational termination","BP",89,71,6.27669799249368e-06,0.133637176958183
"GO:1904813","ficolin-1-rich granule lumen","CC",114,88,6.44023545290023e-06,0.137112612792246
"GO:0071840","cellular component organization or biogenesis","BP",5222,3116,6.82368607993125e-06,0.145269452955656
"GO:0002682","regulation of immune system process","BP",1232,778,6.85169398646342e-06,0.145858861583833
"GO:0030141","secretory granule","CC",670,438,7.26497668655654e-06,0.154649558726729
"GO:0098805","whole membrane","CC",1408,883,7.42363508913941e-06,0.158019496507422
"GO:0006415","translational termination","BP",104,81,8.11359460131064e-06,0.172697861088897
"GO:0006810","transport","BP",3955,2380,8.34159828020729e-06,0.177542577795932
"GO:0018995","host","CC",68,56,9.97323124977311e-06,0.212260280688921
"GO:0043657","host cell","CC",68,56,9.97323124977311e-06,0.212260280688921
"GO:1901135","carbohydrate derivative metabolic process","BP",1053,669,1.05074267578196e-05,0.223608548833159
"GO:0044215","other organism","CC",71,58,1.13375187422931e-05,0.241262398835997
"GO:0044216","other organism cell","CC",71,58,1.13375187422931e-05,0.241262398835997
"GO:0044217","other organism part","CC",71,58,1.13375187422931e-05,0.241262398835997
"GO:0010629","negative regulation of gene expression","BP",1463,914,1.17863776206953e-05,0.250778756635535
"GO:0031347","regulation of defense response","BP",638,417,1.2365285755969e-05,0.263083819743996
"GO:0045088","regulation of innate immune response","BP",382,259,1.2469363530725e-05,0.265285709116174
"GO:0006082","organic acid metabolic process","BP",972,619,1.51119592695759e-05,0.321491821500958
"GO:0101002","ficolin-1-rich granule","CC",170,124,1.52973141378734e-05,0.325419763654982
"GO:0071345","cellular response to cytokine stimulus","BP",858,550,1.59655594135737e-05,0.33961937984554
"GO:0060968","regulation of gene silencing","BP",111,85,1.60895060979907e-05,0.342239884210361
"GO:0044249","cellular biosynthetic process","BP",4820,2878,1.61018609562133e-05,0.342486582538657
"GO:0045047","protein targeting to ER","BP",83,66,1.62488110004765e-05,0.345595961169135
"GO:0097064","ncRNA export from nucleus","BP",38,34,1.67096050783151e-05,0.355379880805605
"GO:0072599","establishment of protein localization to endoplasmic reticulum","BP",86,68,1.72677155228515e-05,0.367232506024483
"GO:0044271","cellular nitrogen compound biosynthetic process","BP",3904,2346,1.72823017686614e-05,0.367525429412354
"GO:1900034","regulation of cellular response to heat","BP",73,59,1.8085750092322e-05,0.384593475713228
"GO:0009161","ribonucleoside monophosphate metabolic process","BP",310,213,1.94198722343086e-05,0.412944163190337
"GO:0009123","nucleoside monophosphate metabolic process","BP",326,223,1.99499345342518e-05,0.424195458001796
"GO:0043436","oxoacid metabolic process","BP",957,609,2.0137206296316e-05,0.428157280272271
"GO:0042582","azurophil granule","CC",137,102,2.04814028918028e-05,0.43545510688262
"GO:0005766","primary lysosome","CC",137,102,2.04814028918028e-05,0.43545510688262
"GO:0017076","purine nucleotide binding","MF",1607,997,2.23330561700476e-05,0.474778441119042
"GO:0033554","cellular response to stress","BP",1737,1074,2.28539212233999e-05,0.485828657367035
"GO:0019538","protein metabolic process","BP",4527,2706,2.29279646843839e-05,0.487379745295948
"GO:0019752","carboxylic acid metabolic process","BP",885,565,2.40280583185315e-05,0.510740407618705
"GO:0050776","regulation of immune response","BP",839,537,2.56922585603202e-05,0.546088955699606
"GO:0004812","aminoacyl-tRNA ligase activity","MF",37,33,2.62631597244524e-05,0.558197196783512
"GO:0016875","ligase activity, forming carbon-oxygen bonds","MF",37,33,2.62631597244524e-05,0.558197196783512
"GO:0042274","ribosomal small subunit biogenesis","BP",62,51,2.66300598455209e-05,0.565942031837011
"GO:0099503","secretory vesicle","CC",783,503,2.66651812076989e-05,0.56666176584481
"GO:0030099","myeloid cell differentiation","BP",324,221,2.90393902238518e-05,0.617087042256851
"GO:0035195","gene silencing by miRNA","BP",118,89,2.91615157898883e-05,0.619653049019336
"GO:0009108","coenzyme biosynthetic process","BP",229,161,2.91958168929564e-05,0.620352717341539
"GO:0050778","positive regulation of immune response","BP",665,431,3.00289735428601e-05,0.638025600865148
"GO:0060966","regulation of gene silencing by RNA","BP",81,64,3.18032800852781e-05,0.675692488691818
"GO:0060147","regulation of posttranscriptional gene silencing","BP",81,64,3.18032800852781e-05,0.675692488691818
"GO:0022607","cellular component assembly","BP",2459,1498,3.29102361500953e-05,0.699145056772625
"GO:0032555","purine ribonucleotide binding","MF",1595,988,3.44186730522502e-05,0.731155871648951
"GO:0046903","secretion","BP",1281,801,3.63089450382502e-05,0.77127461050251
"GO:0097190","apoptotic signaling pathway","BP",496,327,3.8331802470496e-05,0.814205816275805
"GO:0016491","oxidoreductase activity","MF",612,398,3.84857394100397e-05,0.817437105069244
"GO:0032981","mitochondrial respiratory chain complex I assembly","BP",61,50,3.85795251583394e-05,0.819390534837971
"GO:0010257","NADH dehydrogenase complex assembly","BP",61,50,3.85795251583394e-05,0.819390534837971
"GO:0009451","RNA modification","BP",152,111,3.86781089963457e-05,0.821407000755394
"GO:1990204","oxidoreductase complex","CC",102,78,3.88983544005078e-05,0.826045454049184
"GO:0009126","purine nucleoside monophosphate metabolic process","BP",298,204,4.12342169266377e-05,0.875608596437152
"GO:0009167","purine ribonucleoside monophosphate metabolic process","BP",298,204,4.12342169266377e-05,0.875608596437152
"GO:0045730","respiratory burst","BP",32,29,4.19034301785864e-05,0.889735532981924
"GO:0009620","response to fungus","BP",32,29,4.19034301785864e-05,0.889735532981924
"GO:2001233","regulation of apoptotic signaling pathway","BP",330,224,4.20564524694337e-05,0.892900542378548
"GO:0005844","polysome","CC",64,52,4.32588478411716e-05,0.918385339668073
"GO:0032553","ribonucleotide binding","MF",1609,995,4.61815583759195e-05,0.980388302762395
"GO:0071702","organic substance transport","BP",2212,1351,4.6527989643894e-05,0.987696164160582
"GO:0009141","nucleoside triphosphate metabolic process","BP",316,215,4.7446199162161e-05,1
"GO:0044437","vacuolar part","CC",492,324,4.74666363439676e-05,1
"GO:0097367","carbohydrate derivative binding","MF",1819,1119,4.91782539504535e-05,1
"GO:0140101","catalytic activity, acting on a tRNA","MF",116,87,5.146927156927e-05,1
"GO:0040029","regulation of gene expression, epigenetic","BP",278,191,5.15299454944165e-05,1
"GO:0070972","protein localization to endoplasmic reticulum","BP",107,81,5.25975366539999e-05,1
"GO:0009607","response to biotic stimulus","BP",716,460,5.80514716685774e-05,1
"GO:0006790","sulfur compound metabolic process","BP",312,212,6.05539868032814e-05,1
"GO:0060964","regulation of gene silencing by miRNA","BP",79,62,6.14999702183836e-05,1
"GO:0051031","tRNA transport","BP",35,31,6.42998701053241e-05,1
"GO:0008033","tRNA processing","BP",124,92,6.4520228411524e-05,1
"GO:0009408","response to heat","BP",147,107,6.64083419306553e-05,1
"GO:0009144","purine nucleoside triphosphate metabolic process","BP",298,203,6.81880809198607e-05,1
"GO:0032940","secretion by cell","BP",1195,747,7.12674247953061e-05,1
"GO:0016070","RNA metabolic process","BP",3691,2213,7.46355198599963e-05,1
"GO:0006954","inflammatory response","BP",566,368,7.68694502719732e-05,1
"GO:0016458","gene silencing","BP",227,158,7.9735256451213e-05,1
"GO:0015935","small ribosomal subunit","CC",59,48,8.01676812888717e-05,1
"GO:0000027","ribosomal large subunit assembly","BP",22,21,8.18344190896739e-05,1
"GO:0005615","extracellular space","CC",2195,1338,8.27292147675706e-05,1
"GO:0005635","nuclear envelope","CC",405,269,8.4833919572579e-05,1
"GO:0044260","cellular macromolecule metabolic process","BP",6448,3805,8.8499997688044e-05,1
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","BP",52,43,9.06690364005191e-05,1
"GO:0035639","purine ribonucleoside triphosphate binding","MF",1545,954,9.10643428256179e-05,1
"GO:0051707","response to other organism","BP",687,441,9.1984662825662e-05,1
"GO:0005761","mitochondrial ribosome","CC",87,67,9.21356191419225e-05,1
"GO:0000313","organellar ribosome","CC",87,67,9.21356191419225e-05,1
"GO:0009205","purine ribonucleoside triphosphate metabolic process","BP",291,198,9.25714330919047e-05,1
"GO:0046390","ribose phosphate biosynthetic process","BP",256,176,9.44925346852517e-05,1
