"","Pathway","N","DE","P.DE","FDR"
"path:hsa04810","Regulation of actin cytoskeleton",167,69,0.000425830712788507,0.126045890985398
"path:hsa05100","Bacterial invasion of epithelial cells",65,32,0.000454022155076418,0.133936535747543
"path:hsa04062","Chemokine signaling pathway",153,64,0.000454914230687095,0.133936535747543
"path:hsa04144","Endocytosis",217,86,0.000472375798120348,0.138406108849262
"path:hsa04611","Platelet activation",111,49,0.000478633249778192,0.139760908935232
"path:hsa04660","T cell receptor signaling pathway",93,42,0.000667805806221221,0.194331489610375
"path:hsa05167","Kaposi sarcoma-associated herpesvirus infection",155,64,0.000687971883083599,0.199511846094244
"path:hsa05150","Staphylococcus aureus infection",51,26,0.000777491977565156,0.22469518151633
"path:hsa05212","Pancreatic cancer",72,34,0.00080078355782822,0.230625664654527
"path:hsa04064","NF-kappa B signaling pathway",91,41,0.000815365563478877,0.234009916718438
"path:hsa04928","Parathyroid hormone synthesis, secretion and action",83,38,0.00085759069698859,0.245270939338737
"path:hsa05132","Salmonella infection",197,78,0.000870903764866225,0.248207572986874
"path:hsa04072","Phospholipase D signaling pathway",122,52,0.000892076656445789,0.253349770430604
"path:hsa05130","Pathogenic Escherichia coli infection",171,69,0.000926412557979281,0.262174753908137
"path:hsa05322","Systemic lupus erythematosus",62,30,0.000971394438393953,0.273933231627095
"path:hsa04210","Apoptosis",124,52,0.00138620502183068,0.389523611134421
"path:hsa04151","PI3K-Akt signaling pathway",269,101,0.00145140293307736,0.40639282126166
"path:hsa05142","Chagas disease (American trypanosomiasis)",94,41,0.00176434348041489,0.492251831035755
"path:hsa04142","Lysosome",117,49,0.00193654233531539,0.538358769217678
"path:hsa05134","Legionellosis",51,25,0.00199399184460175,0.552335740954685
"path:hsa05145","Toxoplasmosis",103,44,0.00202277532066942,0.558285988504759
"path:hsa04068","FoxO signaling pathway",115,48,0.00232491887048348,0.639352689382957
"path:hsa05310","Asthma",17,11,0.00240105273379628,0.65788844906018
"path:hsa00561","Glycerolipid metabolism",49,24,0.00246855184318797,0.673914653190315
"path:hsa05205","Proteoglycans in cancer",162,64,0.0025595207735003,0.696189650392081
"path:hsa04520","Adherens junction",63,29,0.00304568619882167,0.825380959880671
"path:hsa04933","AGE-RAGE signaling pathway in diabetic complications",88,38,0.00315190865758275,0.851015337547342
"path:hsa04666","Fc gamma R-mediated phagocytosis",86,37,0.00382151623663224,1
"path:hsa04217","Necroptosis",121,49,0.00436035664229141,1
"path:hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",84,36,0.00463138270098846,1
"path:hsa05161","Hepatitis B",139,55,0.00472526618707524,1
"path:hsa04510","Focal adhesion",166,64,0.00497323989272213,1
"path:hsa05034","Alcoholism",97,40,0.00656425939308307,1
"path:hsa05214","Glioma",61,27,0.0079618415311756,1
"path:hsa05210","Colorectal cancer",81,34,0.00849975317401682,1
"path:hsa01522","Endocrine resistance",84,35,0.00875936377086653,1
"path:hsa04115","p53 signaling pathway",67,29,0.00883698407287091,1
"path:hsa04020","Calcium signaling pathway",128,50,0.00906690769711324,1
"path:hsa04261","Adrenergic signaling in cardiomyocytes",108,43,0.0101929083420101,1
"path:hsa05162","Measles",117,46,0.0104841670957966,1
"path:hsa05222","Small cell lung cancer",85,35,0.0108124601644975,1
"path:hsa01521","EGFR tyrosine kinase inhibitor resistance",68,29,0.0112139082708425,1
"path:hsa04371","Apelin signaling pathway",106,42,0.0120883120606604,1
"path:hsa04015","Rap1 signaling pathway",163,61,0.0123063571423144,1
"path:hsa04620","Toll-like receptor signaling pathway",83,34,0.0129799504766792,1
"path:hsa05135","Yersinia infection",113,44,0.0145918109476768,1
"path:hsa05110","Vibrio cholerae infection",44,20,0.014970639151359,1
"path:hsa00565","Ether lipid metabolism",36,17,0.0156541361473946,1
"path:hsa05221","Acute myeloid leukemia",61,26,0.0159396527747554,1
"path:hsa04972","Pancreatic secretion",61,26,0.0159396527747554,1
"path:hsa05225","Hepatocellular carcinoma",138,52,0.0170816142551029,1
"path:hsa05164","Influenza A",138,52,0.0170816142551029,1
"path:hsa04910","Insulin signaling pathway",117,45,0.0172543298554045,1
"path:hsa00010","Glycolysis / Gluconeogenesis",53,23,0.0178705615936368,1
"path:hsa05020","Prion diseases",26,13,0.0192779729835223,1
"path:hsa01230","Biosynthesis of amino acids",59,25,0.0193863953053389,1
"path:hsa04740","Olfactory transduction",34,16,0.0194982495078958,1
"path:hsa04390","Hippo signaling pathway",124,47,0.0201481253359887,1
"path:hsa05224","Breast cancer",109,42,0.0202092508354969,1
"path:hsa05414","Dilated cardiomyopathy (DCM)",71,29,0.0215800200815091,1
"path:hsa04216","Ferroptosis",40,18,0.0228891983466801,1
"path:hsa04014","Ras signaling pathway",171,62,0.0237402306415808,1
"path:hsa05410","Hypertrophic cardiomyopathy (HCM)",66,27,0.0254541377393354,1
"path:hsa05219","Bladder cancer",35,16,0.0264428643305592,1
"path:hsa04610","Complement and coagulation cascades",58,24,0.0293999355951077,1
"path:hsa04614","Renin-angiotensin system",12,7,0.0323013706527857,1
"path:hsa04066","HIF-1 signaling pathway",97,37,0.032752769126969,1
"path:hsa00052","Galactose metabolism",25,12,0.0345348186578113,1
"path:hsa00500","Starch and sucrose metabolism",25,12,0.0345348186578113,1
"path:hsa04921","Oxytocin signaling pathway",116,43,0.0369466886322433,1
"path:hsa04713","Circadian entrainment",65,26,0.0373287247715987,1
"path:hsa04919","Thyroid hormone signaling pathway",104,39,0.0379249027538938,1
"path:hsa05220","Chronic myeloid leukemia",71,28,0.0380316142504391,1
"path:hsa04750","Inflammatory mediator regulation of TRP channels",80,31,0.0385562225949198,1
"path:hsa05231","Choline metabolism in cancer",86,33,0.0386285393364711,1
"path:hsa05216","Thyroid cancer",34,15,0.043456845827805,1
"path:hsa05032","Morphine addiction",57,23,0.043698428442057,1
"path:hsa04926","Relaxin signaling pathway",102,38,0.0442010384591932,1
"path:hsa05223","Non-small cell lung cancer",60,24,0.0442591413130607,1
"path:hsa04024","cAMP signaling pathway",136,49,0.0452719013448038,1
"path:hsa04923","Regulation of lipolysis in adipocytes",40,17,0.0473694772418663,1
"path:hsa04621","NOD-like receptor signaling pathway",146,52,0.0491192394283964,1
"path:hsa04960","Aldosterone-regulated sodium reabsorption",29,13,0.0510404309773184,1
"path:hsa04971","Gastric acid secretion",55,22,0.0525930150132105,1
"path:hsa04080","Neuroactive ligand-receptor interaction",135,48,0.0584148227629646,1
"path:hsa04530","Tight junction",132,47,0.0592464365944684,1
"path:hsa04970","Salivary secretion",59,23,0.0638459421683675,1
"path:hsa04310","Wnt signaling pathway",114,41,0.0642890013184788,1
"path:hsa05418","Fluid shear stress and atherosclerosis",111,40,0.0651279218384751,1
"path:hsa05226","Gastric cancer",111,40,0.0651279218384751,1
"path:hsa04140","Autophagy - animal",127,45,0.0686038531941525,1
"path:hsa04979","Cholesterol metabolism",33,14,0.0693467207106291,1
"path:hsa04931","Insulin resistance",93,34,0.0699966112101491,1
"path:hsa04022","cGMP-PKG signaling pathway",118,42,0.0716949052800971,1
"path:hsa04725","Cholinergic synapse",84,31,0.0721995637206326,1
"path:hsa00330","Arginine and proline metabolism",39,16,0.072855308645589,1
"path:hsa04976","Bile secretion",51,20,0.075878252059961,1
"path:hsa05213","Endometrial cancer",54,21,0.0760771804287351,1
"path:hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis",4,3,0.0764585430971345,1
"path:hsa05143","African trypanosomiasis",28,12,0.0829950516964473,1
"path:hsa05215","Prostate cancer",82,30,0.0840611715775125,1
"path:hsa04012","ErbB signaling pathway",73,27,0.0867859456925819,1
"path:hsa04913","Ovarian steroidogenesis",37,15,0.0888686811961917,1
"path:hsa05133","Pertussis",64,24,0.0890636105056879,1
"path:hsa04727","GABAergic synapse",55,21,0.0905821061265588,1
"path:hsa04935","Growth hormone synthesis, secretion and action",95,34,0.0910722312032685,1
"path:hsa04915","Estrogen signaling pathway",92,33,0.0923980733167789,1
"path:hsa05165","Human papillomavirus infection",271,89,0.0926254198298307,1
"path:hsa05120","Epithelial cell signaling in Helicobacter pylori infection",62,23,0.104839152785668,1
"path:hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)",59,22,0.105848694711912,1
"path:hsa04625","C-type lectin receptor signaling pathway",90,32,0.106393625938628,1
"path:hsa04270","Vascular smooth muscle contraction",90,32,0.106393625938628,1
"path:hsa00514","Other types of O-glycan biosynthesis",41,16,0.10914960291227,1
"path:hsa00511","Other glycan degradation",15,7,0.113270474698893,1
"path:hsa04540","Gap junction",69,25,0.118246891861148,1
"path:hsa05160","Hepatitis C",126,43,0.121903073547749,1
"path:hsa04137","Mitophagy - animal",60,22,0.123117058394459,1
"path:hsa04664","Fc epsilon RI signaling pathway",57,21,0.124648458865951,1
"path:hsa05203","Viral carcinogenesis",165,55,0.127530494006799,1
"path:hsa04728","Dopaminergic synapse",98,34,0.129989480241355,1
"path:hsa02010","ABC transporters",36,14,0.131840205584173,1
"path:hsa04973","Carbohydrate digestion and absorption",33,13,0.13184492709268,1
"path:hsa04918","Thyroid hormone synthesis",55,20,0.146410326515705,1
"path:hsa04622","RIG-I-like receptor signaling pathway",52,19,0.1485753032235,1
"path:hsa04071","Sphingolipid signaling pathway",109,37,0.151380328130909,1
"path:hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",19,8,0.157188805372822,1
"path:hsa04722","Neurotrophin signaling pathway",103,35,0.157619332633292,1
"path:hsa04010","MAPK signaling pathway",233,75,0.158316991435226,1
"path:hsa01524","Platinum drug resistance",65,23,0.159452628273798,1
"path:hsa04668","TNF signaling pathway",97,33,0.164191336284736,1
"path:hsa04211","Longevity regulating pathway",78,27,0.166525460956878,1
"path:hsa04912","GnRH signaling pathway",75,26,0.16991794662016,1
"path:hsa04657","IL-17 signaling pathway",69,24,0.176956360968285,1
"path:hsa01100","Metabolic pathways",1215,367,0.179402333103613,1
"path:hsa04924","Renin secretion",41,15,0.183684722621026,1
"path:hsa00513","Various types of N-glycan biosynthesis",32,12,0.192115970695871,1
"path:hsa04925","Aldosterone synthesis and secretion",73,25,0.194410044670947,1
"path:hsa04215","Apoptosis - multiple species",29,11,0.194517673477258,1
"path:hsa05218","Melanoma",54,19,0.196117781850269,1
"path:hsa04710","Circadian rhythm",26,10,0.196542251827515,1
"path:hsa04213","Longevity regulating pathway - multiple species",51,18,0.200227037168996,1
"path:hsa00590","Arachidonic acid metabolism",45,16,0.208715236278528,1
"path:hsa00510","N-Glycan biosynthesis",45,16,0.208715236278528,1
"path:hsa04330","Notch signaling pathway",45,16,0.208715236278528,1
"path:hsa04974","Protein digestion and absorption",61,21,0.212430043680268,1
"path:hsa04961","Endocrine and other factor-regulated calcium reabsorption",39,14,0.217526396626236,1
"path:hsa04340","Hedgehog signaling pathway",39,14,0.217526396626236,1
"path:hsa00440","Phosphonate and phosphinate metabolism",6,3,0.237735760932387,1
"path:hsa04917","Prolactin signaling pathway",62,21,0.238049614890561,1
"path:hsa04720","Long-term potentiation",46,16,0.238581650811144,1
"path:hsa04392","Hippo signaling pathway - multiple species",24,9,0.239883502579511,1
"path:hsa04975","Fat digestion and absorption",21,8,0.243923510396878,1
"path:hsa04916","Melanogenesis",72,24,0.245863648990913,1
"path:hsa04370","VEGF signaling pathway",53,18,0.256416792900652,1
"path:hsa04723","Retrograde endocannabinoid signaling",109,35,0.268826491681574,1
"path:hsa04136","Autophagy - other",31,11,0.2700282642696,1
"path:hsa05168","Herpes simplex virus 1 infection",431,131,0.278100045994872,1
"path:hsa04726","Serotonergic synapse",80,26,0.282525672788456,1
"path:hsa00030","Pentose phosphate pathway",25,9,0.284474381419961,1
"path:hsa05031","Amphetamine addiction",41,14,0.285041874340944,1
"path:hsa01200","Carbon metabolism",100,32,0.288242279867831,1
"path:hsa00230","Purine metabolism",104,33,0.303768005820356,1
"path:hsa04922","Glucagon signaling pathway",81,26,0.307869509126114,1
"path:hsa00592","alpha-Linolenic acid metabolism",16,6,0.308261601924354,1
"path:hsa00340","Histidine metabolism",16,6,0.308261601924354,1
"path:hsa00040","Pentose and glucuronate interconversions",16,6,0.308261601924354,1
"path:hsa04360","Axon guidance",141,44,0.311780960753581,1
"path:hsa05230","Central carbon metabolism in cancer",59,19,0.340013565342637,1
"path:hsa04911","Insulin secretion",59,19,0.340013565342637,1
"path:hsa01040","Biosynthesis of unsaturated fatty acids",23,8,0.342342924081996,1
"path:hsa03060","Protein export",23,8,0.342342924081996,1
"path:hsa05217","Basal cell carcinoma",46,15,0.347044438552599,1
"path:hsa04966","Collecting duct acid secretion",20,7,0.354710818843753,1
"path:hsa04934","Cushing syndrome",121,37,0.385465423034983,1
"path:hsa00053","Ascorbate and aldarate metabolism",11,4,0.401706381171103,1
"path:hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",11,4,0.401706381171103,1
"path:hsa00604","Glycosphingolipid biosynthesis - ganglio series",11,4,0.401706381171103,1
"path:hsa04110","Cell cycle",115,35,0.402996914133677,1
"path:hsa04152","AMPK signaling pathway",105,32,0.406754740106676,1
"path:hsa04260","Cardiac muscle contraction",58,18,0.415725944102163,1
"path:hsa04930","Type II diabetes mellitus",38,12,0.423465340042591,1
"path:hsa04978","Mineral absorption",35,11,0.439068644410113,1
"path:hsa00512","Mucin type O-glycan biosynthesis",25,8,0.444912989380663,1
"path:hsa04932","Non-alcoholic fatty liver disease (NAFLD)",134,40,0.448290485855118,1
"path:hsa00531","Glycosaminoglycan degradation",15,5,0.450750242023951,1
"path:hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",5,2,0.451548554508896,1
"path:hsa00310","Lysine degradation",56,17,0.462674540213205,1
"path:hsa03450","Non-homologous end-joining",12,4,0.477135980978742,1
"path:hsa00270","Cysteine and methionine metabolism",43,13,0.48772641064641,1
"path:hsa00280","Valine, leucine and isoleucine degradation",43,13,0.48772641064641,1
"path:hsa00591","Linoleic acid metabolism",19,6,0.488330396156306,1
"path:hsa04550","Signaling pathways regulating pluripotency of stem cells",102,30,0.502768326336416,1
"path:hsa00360","Phenylalanine metabolism",9,3,0.510837254782398,1
"path:hsa05010","Alzheimer disease",282,82,0.514317958752316,1
"path:hsa00220","Arginine biosynthesis",16,5,0.515517805705587,1
"path:hsa00380","Tryptophan metabolism",34,10,0.544647188660062,1
"path:hsa01523","Antifolate resistance",27,8,0.544694494806243,1
"path:hsa03320","PPAR signaling pathway",55,16,0.546404820161498,1
"path:hsa04744","Phototransduction",13,4,0.548525377953852,1
"path:hsa04150","mTOR signaling pathway",132,38,0.556629846549861,1
"path:hsa00520","Amino sugar and nucleotide sugar metabolism",45,13,0.564023467954868,1
"path:hsa00062","Fatty acid elongation",24,7,0.570483539088394,1
"path:hsa04927","Cortisol synthesis and secretion",49,14,0.581425885546397,1
"path:hsa03030","DNA replication",35,10,0.586878606360042,1
"path:hsa05211","Renal cell carcinoma",67,19,0.593525114840681,1
"path:hsa00650","Butanoate metabolism",21,6,0.599792511779485,1
"path:hsa00600","Sphingolipid metabolism",39,11,0.604641565665158,1
"path:hsa05030","Cocaine addiction",32,9,0.610519230071731,1
"path:hsa05012","Parkinson disease",124,35,0.611196486918652,1
"path:hsa04977","Vitamin digestion and absorption",14,4,0.614400012874675,1
"path:hsa05017","Spinocerebellar ataxia",75,21,0.620362092292237,1
"path:hsa04962","Vasopressin-regulated water reabsorption",36,10,0.627229724709665,1
"path:hsa04914","Progesterone-mediated oocyte maturation",79,22,0.632679987876582,1
"path:hsa00100","Steroid biosynthesis",18,5,0.633711462898047,1
"path:hsa00760","Nicotinate and nicotinamide metabolism",29,8,0.636392340259223,1
"path:hsa00780","Biotin metabolism",3,1,0.642431550708493,1
"path:hsa04724","Glutamatergic synapse",83,23,0.644354850004386,1
"path:hsa00983","Drug metabolism - other enzymes",51,14,0.649144324945789,1
"path:hsa00790","Folate biosynthesis",22,6,0.65028177640118,1
"path:hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",22,6,0.65028177640118,1
"path:hsa00480","Glutathione metabolism",44,12,0.656170567843837,1
"path:hsa00120","Primary bile acid biosynthesis",11,3,0.661611310545606,1
"path:hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",11,3,0.661611310545606,1
"path:hsa01210","2-Oxocarboxylic acid metabolism",15,4,0.673909020456756,1
"path:hsa03440","Homologous recombination",41,11,0.678033938127994,1
"path:hsa00051","Fructose and mannose metabolism",30,8,0.678106808476335,1
"path:hsa04929","GnRH secretion",52,14,0.680723947126824,1
"path:hsa04964","Proximal tubule bicarbonate reclamation",19,5,0.685633272448668,1
"path:hsa04730","Long-term depression",45,12,0.689678604167099,1
"path:hsa04920","Adipocytokine signaling pathway",60,16,0.702075168523695,1
"path:hsa00260","Glycine, serine and threonine metabolism",31,8,0.716724169046346,1
"path:hsa00730","Thiamine metabolism",12,3,0.723103087067894,1
"path:hsa00740","Riboflavin metabolism",8,2,0.724920674962957,1
"path:hsa03015","mRNA surveillance pathway",72,19,0.729648967981823,1
"path:hsa00240","Pyrimidine metabolism",50,13,0.730189975047206,1
"path:hsa04146","Peroxisome",76,20,0.737891035708816,1
"path:hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",24,6,0.738715189334714,1
"path:hsa00250","Alanine, aspartate and glutamate metabolism",28,7,0.745400751384488,1
"path:hsa00020","Citrate cycle (TCA cycle)",28,7,0.745400751384488,1
"path:hsa00471","D-Glutamine and D-glutamate metabolism",4,1,0.746221459110702,1
"path:hsa00785","Lipoic acid metabolism",4,1,0.746221459110702,1
"path:hsa00290","Valine, leucine and isoleucine biosynthesis",4,1,0.746221459110702,1
"path:hsa00750","Vitamin B6 metabolism",4,1,0.746221459110702,1
"path:hsa03410","Base excision repair",32,8,0.752125815371217,1
"path:hsa00830","Retinol metabolism",32,8,0.752125815371217,1
"path:hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",17,4,0.77282633172901,1
"path:hsa00670","One carbon pool by folate",17,4,0.77282633172901,1
"path:hsa00350","Tyrosine metabolism",21,5,0.773724847789592,1
"path:hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",13,3,0.775476399802106,1
"path:hsa00910","Nitrogen metabolism",13,3,0.775476399802106,1
"path:hsa00410","beta-Alanine metabolism",25,6,0.776420028922077,1
"path:hsa00630","Glyoxylate and dicarboxylate metabolism",25,6,0.776420028922077,1
"path:hsa00620","Pyruvate metabolism",33,8,0.784285502065991,1
"path:hsa00515","Mannose type O-glycan biosynthesis",22,5,0.810031633492067,1
"path:hsa00900","Terpenoid backbone biosynthesis",18,4,0.812573437109285,1
"path:hsa00920","Sulfur metabolism",10,2,0.834927171056664,1
"path:hsa03430","Mismatch repair",23,5,0.841524510358437,1
"path:hsa03460","Fanconi anemia pathway",51,12,0.846521450373895,1
"path:hsa04350","TGF-beta signaling pathway",74,18,0.846611085495747,1
"path:hsa04114","Oocyte meiosis",101,25,0.855587705425731,1
"path:hsa00190","Oxidative phosphorylation",116,29,0.856067599036759,1
"path:hsa00970","Aminoacyl-tRNA biosynthesis",40,9,0.86216848946585,1
"path:hsa05014","Amyotrophic lateral sclerosis (ALS)",44,10,0.862837918625711,1
"path:hsa00640","Propanoate metabolism",32,7,0.86288305568277,1
"path:hsa04130","SNARE interactions in vesicular transport",32,7,0.86288305568277,1
"path:hsa04714","Thermogenesis",202,52,0.867480236713042,1
"path:hsa04950","Maturity onset diabetes of the young",6,1,0.872176632053955,1
"path:hsa00982","Drug metabolism - cytochrome P450",33,7,0.884043935502672,1
"path:hsa00860","Porphyrin and chlorophyll metabolism",25,5,0.891619486317435,1
"path:hsa01212","Fatty acid metabolism",50,11,0.8974536851206,1
"path:hsa00071","Fatty acid degradation",38,8,0.900037659955604,1
"path:hsa04122","Sulfur relay system",7,1,0.909286921083487,1
"path:hsa00980","Metabolism of xenobiotics by cytochrome P450",39,8,0.915436988708187,1
"path:hsa04742","Taste transduction",35,7,0.918211032932964,1
"path:hsa05016","Huntington disease",232,58,0.925708940537917,1
"path:hsa04120","Ubiquitin mediated proteolysis",126,29,0.946768797288262,1
"path:hsa04721","Synaptic vesicle cycle",55,11,0.95244635193854,1
"path:hsa04512","ECM-receptor interaction",69,14,0.962563242432434,1
"path:hsa00061","Fatty acid biosynthesis",16,2,0.968762349223798,1
"path:hsa04623","Cytosolic DNA-sensing pathway",45,8,0.971387177173526,1
"path:hsa00140","Steroid hormone biosynthesis",27,4,0.974220786724325,1
"path:hsa03420","Nucleotide excision repair",46,8,0.976399045037816,1
"path:hsa03018","RNA degradation",72,14,0.976558766367492,1
"path:hsa00770","Pantothenate and CoA biosynthesis",17,2,0.976633886650924,1
"path:hsa03050","Proteasome",43,7,0.982684199446986,1
"path:hsa05204","Chemical carcinogenesis",42,6,0.992352933617523,1
"path:hsa00450","Selenocompound metabolism",15,1,0.994169387641336,1
"path:hsa03013","RNA transport",138,27,0.995887946319241,1
"path:hsa03008","Ribosome biogenesis in eukaryotes",69,10,0.99856440181846,1
"path:hsa03022","Basal transcription factors",40,4,0.999097499786265,1
"path:hsa03020","RNA polymerase",29,1,0.999952363785139,1
"path:hsa03040","Spliceosome",120,11,0.999999976191631,1
"path:hsa00232","Caffeine metabolism",3,0,1,1
"path:hsa00430","Taurine and hypotaurine metabolism",6,0,1,1
"path:hsa05033","Nicotine addiction",7,0,1,1
"path:hsa00072","Synthesis and degradation of ketone bodies",7,0,1,1
