"","Pathway","N","DE","P.DE","FDR"
"path:hsa03410","Base excision repair",32,21,0.216529572632165,1
"path:hsa05170","Human immunodeficiency virus 1 infection",179,108,0.217112400680241,1
"path:hsa05032","Morphine addiction",57,36,0.218458258351299,1
"path:hsa04672","Intestinal immune network for IgA production",37,24,0.218832860818794,1
"path:hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",19,13,0.225823974466736,1
"path:hsa05131","Shigellosis",202,121,0.237359584295365,1
"path:hsa05132","Salmonella infection",197,118,0.240971456468069,1
"path:hsa05206","MicroRNAs in cancer",144,87,0.241030189747336,1
"path:hsa04015","Rap1 signaling pathway",163,98,0.247355615507442,1
"path:hsa05214","Glioma",61,38,0.24945853943831,1
"path:hsa00592","alpha-Linolenic acid metabolism",16,11,0.250044326621962,1
"path:hsa00061","Fatty acid biosynthesis",16,11,0.250044326621962,1
"path:hsa04650","Natural killer cell mediated cytotoxicity",100,61,0.251061316018406,1
"path:hsa04210","Apoptosis",124,75,0.256627138998774,1
"path:hsa04975","Fat digestion and absorption",21,14,0.257504944196799,1
"path:hsa04625","C-type lectin receptor signaling pathway",90,55,0.25892150750841,1
"path:hsa04270","Vascular smooth muscle contraction",90,55,0.25892150750841,1
"path:hsa00740","Riboflavin metabolism",8,6,0.259183339920252,1
"path:hsa03440","Homologous recombination",41,26,0.259402009707743,1
"path:hsa04962","Vasopressin-regulated water reabsorption",36,23,0.260867970464886,1
"path:hsa05169","Epstein-Barr virus infection",174,104,0.268866231686585,1
"path:hsa04370","VEGF signaling pathway",53,33,0.272221598117939,1
"path:hsa00270","Cysteine and methionine metabolism",43,27,0.279200337349193,1
"path:hsa04137","Mitophagy - animal",60,37,0.284691037007328,1
"path:hsa00100","Steroid biosynthesis",18,12,0.285697291250548,1
"path:hsa04380","Osteoclast differentiation",118,71,0.286654437823422,1
"path:hsa03060","Protein export",23,15,0.287539762490715,1
"path:hsa04918","Thyroid hormone synthesis",55,34,0.289284907930495,1
"path:hsa04630","JAK-STAT signaling pathway",108,65,0.296951852119534,1
"path:hsa04722","Neurotrophin signaling pathway",103,62,0.302376326351478,1
"path:hsa04540","Gap junction",69,42,0.31038328142597,1
"path:hsa00051","Fructose and mannose metabolism",30,19,0.312165420245226,1
"path:hsa00410","beta-Alanine metabolism",25,16,0.315971988107053,1
"path:hsa04928","Parathyroid hormone synthesis, secretion and action",83,50,0.32630239493062,1
"path:hsa04935","Growth hormone synthesis, secretion and action",95,57,0.32640695540695,1
"path:hsa04130","SNARE interactions in vesicular transport",32,20,0.336342788885334,1
"path:hsa04668","TNF signaling pathway",97,58,0.338868850347891,1
"path:hsa05221","Acute myeloid leukemia",61,37,0.339007804092897,1
"path:hsa04921","Oxytocin signaling pathway",116,69,0.342376424245918,1
"path:hsa05014","Amyotrophic lateral sclerosis (ALS)",44,27,0.343518139393442,1
"path:hsa04080","Neuroactive ligand-receptor interaction",135,80,0.344408562404745,1
"path:hsa00310","Lysine degradation",56,34,0.346455905864641,1
"path:hsa04611","Platelet activation",111,66,0.349118865458172,1
"path:hsa04022","cGMP-PKG signaling pathway",118,70,0.353584251557295,1
"path:hsa05202","Transcriptional misregulation in cancer",137,81,0.354729344919666,1
"path:hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",17,11,0.355515218706296,1
"path:hsa00670","One carbon pool by folate",17,11,0.355515218706296,1
"path:hsa00770","Pantothenate and CoA biosynthesis",17,11,0.355515218706296,1
"path:hsa05332","Graft-versus-host disease",34,21,0.359499138151361,1
"path:hsa05216","Thyroid cancer",34,21,0.359499138151361,1
"path:hsa05033","Nicotine addiction",7,5,0.359981029205422,1
"path:hsa04614","Renin-angiotensin system",12,8,0.360272306947701,1
"path:hsa04150","mTOR signaling pathway",132,78,0.361480893941859,1
"path:hsa04141","Protein processing in endoplasmic reticulum",151,89,0.361567690069079,1
"path:hsa03420","Nucleotide excision repair",46,28,0.362787780284812,1
"path:hsa05323","Rheumatoid arthritis",77,46,0.368693072917201,1
"path:hsa04713","Circadian entrainment",65,39,0.370758052939743,1
"path:hsa04725","Cholinergic synapse",84,50,0.374260786968868,1
"path:hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",24,15,0.377894648081945,1
"path:hsa02010","ABC transporters",36,22,0.381669770981937,1
"path:hsa04727","GABAergic synapse",55,33,0.389295116999241,1
"path:hsa04640","Hematopoietic cell lineage",81,48,0.396590890700808,1
"path:hsa05416","Viral myocarditis",50,30,0.399629527686317,1
"path:hsa04930","Type II diabetes mellitus",38,23,0.402894835645052,1
"path:hsa04934","Cushing syndrome",121,71,0.405643451587876,1
"path:hsa04620","Toll-like receptor signaling pathway",83,49,0.410196771865584,1
"path:hsa00360","Phenylalanine metabolism",9,6,0.412860369156576,1
"path:hsa04940","Type I diabetes mellitus",33,20,0.415301248830489,1
"path:hsa05220","Chronic myeloid leukemia",71,42,0.416084375737754,1
"path:hsa00785","Lipoic acid metabolism",4,3,0.427024534402717,1
"path:hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis",4,3,0.427024534402717,1
"path:hsa04925","Aldosterone synthesis and secretion",73,43,0.430561609747049,1
"path:hsa04726","Serotonergic synapse",80,47,0.433825106681893,1
"path:hsa05135","Yersinia infection",113,66,0.43422854637738,1
"path:hsa00220","Arginine biosynthesis",16,10,0.434530953349297,1
"path:hsa03030","DNA replication",35,21,0.436978172712795,1
"path:hsa04810","Regulation of actin cytoskeleton",167,97,0.437934482887097,1
"path:hsa04140","Autophagy - animal",127,74,0.438221956481579,1
"path:hsa05142","Chagas disease (American trypanosomiasis)",94,55,0.439253637929938,1
"path:hsa01521","EGFR tyrosine kinase inhibitor resistance",68,40,0.441760424401012,1
"path:hsa01040","Biosynthesis of unsaturated fatty acids",23,14,0.445585873389214,1
"path:hsa04072","Phospholipase D signaling pathway",122,71,0.447238672022643,1
"path:hsa05215","Prostate cancer",82,48,0.447304478224043,1
"path:hsa04024","cAMP signaling pathway",136,79,0.450302046006122,1
"path:hsa00053","Ascorbate and aldarate metabolism",11,7,0.455249579840215,1
"path:hsa00604","Glycosphingolipid biosynthesis - ganglio series",11,7,0.455249579840215,1
"path:hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",84,49,0.460507150720985,1
"path:hsa03460","Fanconi anemia pathway",51,30,0.464304041510734,1
"path:hsa04610","Complement and coagulation cascades",58,34,0.466747142645667,1
"path:hsa04931","Insulin resistance",93,54,0.474633407217218,1
"path:hsa00440","Phosphonate and phosphinate metabolism",6,4,0.485905716436658,1
"path:hsa04670","Leukocyte transendothelial migration",88,51,0.486083262584142,1
"path:hsa04926","Relaxin signaling pathway",102,59,0.487428476463605,1
"path:hsa03320","PPAR signaling pathway",55,32,0.496804052367194,1
"path:hsa04724","Glutamatergic synapse",83,48,0.498195046944214,1
"path:hsa05133","Pertussis",64,37,0.511733718537342,1
"path:hsa04960","Aldosterone-regulated sodium reabsorption",29,17,0.515712909253746,1
"path:hsa04659","Th17 cell differentiation",94,54,0.522396095755047,1
"path:hsa04911","Insulin secretion",59,34,0.52702382625319,1
"path:hsa04970","Salivary secretion",59,34,0.52702382625319,1
"path:hsa04622","RIG-I-like receptor signaling pathway",52,30,0.528517891324229,1
"path:hsa00590","Arachidonic acid metabolism",45,26,0.530366526622266,1
"path:hsa05213","Endometrial cancer",54,31,0.543655776420523,1
"path:hsa05218","Melanoma",54,31,0.543655776420523,1
"path:hsa05310","Asthma",17,10,0.547410574267869,1
"path:hsa04520","Adherens junction",63,36,0.555143349459361,1
"path:hsa00920","Sulfur metabolism",10,6,0.560955335359632,1
"path:hsa05020","Prion diseases",26,15,0.561190809020305,1
"path:hsa04927","Cortisol synthesis and secretion",49,28,0.561891841914391,1
"path:hsa04550","Signaling pathways regulating pluripotency of stem cells",102,58,0.567098031932311,1
"path:hsa04964","Proximal tubule bicarbonate reclamation",19,11,0.570955387222028,1
"path:hsa05210","Colorectal cancer",81,46,0.574521248101871,1
"path:hsa04218","Cellular senescence",143,81,0.586239126223734,1
"path:hsa00730","Thiamine metabolism",12,7,0.588217761889736,1
"path:hsa04913","Ovarian steroidogenesis",37,21,0.589023968848647,1
"path:hsa00650","Butanoate metabolism",21,12,0.592120969986394,1
"path:hsa00350","Tyrosine metabolism",21,12,0.592120969986394,1
"path:hsa04657","IL-17 signaling pathway",69,39,0.593749146331029,1
"path:hsa05225","Hepatocellular carcinoma",138,78,0.597196385806552,1
"path:hsa05162","Measles",117,66,0.604777368494014,1
"path:hsa00780","Biotin metabolism",3,2,0.606903766705701,1
"path:hsa05145","Toxoplasmosis",103,58,0.611070012860395,1
"path:hsa04020","Calcium signaling pathway",128,72,0.620176231684572,1
"path:hsa00052","Galactose metabolism",25,14,0.628903526169526,1
"path:hsa00380","Tryptophan metabolism",34,19,0.630361231926785,1
"path:hsa00340","Histidine metabolism",16,9,0.631953333570411,1
"path:hsa00040","Pentose and glucuronate interconversions",16,9,0.631953333570411,1
"path:hsa05144","Malaria",43,24,0.63345928399727,1
"path:hsa04071","Sphingolipid signaling pathway",109,61,0.639708629674881,1
"path:hsa04919","Thyroid hormone signaling pathway",104,58,0.653228409500358,1
"path:hsa04122","Sulfur relay system",7,4,0.653805299411638,1
"path:hsa00072","Synthesis and degradation of ketone bodies",7,4,0.653805299411638,1
"path:hsa04933","AGE-RAGE signaling pathway in diabetic complications",88,49,0.653991940235199,1
"path:hsa04371","Apelin signaling pathway",106,59,0.66221426420098,1
"path:hsa01524","Platinum drug resistance",65,36,0.663698380045512,1
"path:hsa04966","Collecting duct acid secretion",20,11,0.66654124458968,1
"path:hsa04350","TGF-beta signaling pathway",74,41,0.666578844657364,1
"path:hsa00561","Glycerolipid metabolism",49,27,0.671267085962179,1
"path:hsa03022","Basal transcription factors",40,22,0.671444963398365,1
"path:hsa04136","Autophagy - other",31,17,0.673989273340907,1
"path:hsa00515","Mannose type O-glycan biosynthesis",22,12,0.681487295404521,1
"path:hsa04976","Bile secretion",51,28,0.682655808451257,1
"path:hsa04973","Carbohydrate digestion and absorption",33,18,0.686996083741217,1
"path:hsa00062","Fatty acid elongation",24,13,0.695213697238145,1
"path:hsa04014","Ras signaling pathway",171,95,0.695288194408461,1
"path:hsa04750","Inflammatory mediator regulation of TRP channels",80,44,0.695404874372966,1
"path:hsa04978","Mineral absorption",35,19,0.699183403229078,1
"path:hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",13,7,0.702105630825341,1
"path:hsa00910","Nitrogen metabolism",13,7,0.702105630825341,1
"path:hsa04744","Phototransduction",13,7,0.702105630825341,1
"path:hsa04064","NF-kappa B signaling pathway",91,50,0.705695631957155,1
"path:hsa04710","Circadian rhythm",26,14,0.707901696176952,1
"path:hsa00562","Inositol phosphate metabolism",66,36,0.712627119399587,1
"path:hsa04660","T cell receptor signaling pathway",93,51,0.713990305795646,1
"path:hsa00450","Selenocompound metabolism",15,8,0.715115991885642,1
"path:hsa05418","Fluid shear stress and atherosclerosis",111,61,0.716906688548529,1
"path:hsa05231","Choline metabolism in cancer",86,47,0.721346432589294,1
"path:hsa04961","Endocrine and other factor-regulated calcium reabsorption",39,21,0.721431194704476,1
"path:hsa04340","Hedgehog signaling pathway",39,21,0.721431194704476,1
"path:hsa00980","Metabolism of xenobiotics by cytochrome P450",39,21,0.721431194704476,1
"path:hsa05031","Amphetamine addiction",41,22,0.731626691696414,1
"path:hsa04924","Renin secretion",41,22,0.731626691696414,1
"path:hsa00591","Linoleic acid metabolism",19,10,0.738117437879076,1
"path:hsa05030","Cocaine addiction",32,17,0.741013601955467,1
"path:hsa05100","Bacterial invasion of epithelial cells",65,35,0.749252480536228,1
"path:hsa04152","AMPK signaling pathway",105,57,0.758562472214677,1
"path:hsa04260","Cardiac muscle contraction",58,31,0.761281081159275,1
"path:hsa04728","Dopaminergic synapse",98,53,0.765930165907681,1
"path:hsa05200","Pathways in cancer",416,231,0.77028819605383,1
"path:hsa04917","Prolactin signaling pathway",62,33,0.7765669980901,1
"path:hsa04923","Regulation of lipolysis in adipocytes",40,21,0.776679134569125,1
"path:hsa01522","Endocrine resistance",84,45,0.782841734474321,1
"path:hsa04215","Apoptosis - multiple species",29,15,0.783585228402619,1
"path:hsa04151","PI3K-Akt signaling pathway",269,148,0.783709297036639,1
"path:hsa00290","Valine, leucine and isoleucine biosynthesis",4,2,0.786782999008686,1
"path:hsa05165","Human papillomavirus infection",271,149,0.788044116552295,1
"path:hsa04971","Gastric acid secretion",55,29,0.789981100562836,1
"path:hsa00260","Glycine, serine and threonine metabolism",31,16,0.791190502151981,1
"path:hsa05110","Vibrio cholerae infection",44,23,0.791834520360336,1
"path:hsa04261","Adrenergic signaling in cardiomyocytes",108,58,0.796933020764152,1
"path:hsa00982","Drug metabolism - cytochrome P450",33,17,0.798407215058108,1
"path:hsa05340","Primary immunodeficiency",33,17,0.798407215058108,1
"path:hsa04914","Progesterone-mediated oocyte maturation",79,42,0.798930114291361,1
"path:hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)",59,31,0.80342122380574,1
"path:hsa05212","Pancreatic cancer",72,38,0.809620412288628,1
"path:hsa00790","Folate biosynthesis",22,11,0.815319797902069,1
"path:hsa00330","Arginine and proline metabolism",39,20,0.818033206701628,1
"path:hsa04514","Cell adhesion molecules (CAMs)",109,58,0.82568682592432,1
"path:hsa04211","Longevity regulating pathway",78,41,0.826529358874753,1
"path:hsa04330","Notch signaling pathway",45,23,0.835121119753273,1
"path:hsa04068","FoxO signaling pathway",115,61,0.839817583674126,1
"path:hsa00830","Retinol metabolism",32,16,0.841367402348494,1
"path:hsa04213","Longevity regulating pathway - multiple species",51,26,0.850150098299857,1
"path:hsa05321","Inflammatory bowel disease (IBD)",53,27,0.854765501492201,1
"path:hsa04114","Oocyte meiosis",101,53,0.855062295870471,1
"path:hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",11,5,0.861948376836401,1
"path:hsa00120","Primary bile acid biosynthesis",11,5,0.861948376836401,1
"path:hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",11,5,0.861948376836401,1
"path:hsa00500","Starch and sucrose metabolism",25,12,0.870471170417273,1
"path:hsa05224","Breast cancer",109,57,0.870770896409659,1
"path:hsa01523","Antifolate resistance",27,13,0.873224762094019,1
"path:hsa04658","Th1 and Th2 cell differentiation",80,41,0.882121923907164,1
"path:hsa04070","Phosphatidylinositol signaling system",84,43,0.888839743249935,1
"path:hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",5,2,0.889487688539005,1
"path:hsa00514","Other types of O-glycan biosynthesis",41,20,0.893104497166186,1
"path:hsa04920","Adipocytokine signaling pathway",60,30,0.89503754465737,1
"path:hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",22,10,0.907155299749109,1
"path:hsa04510","Focal adhesion",166,87,0.90734906916624,1
"path:hsa04977","Vitamin digestion and absorption",14,6,0.911341849309778,1
"path:hsa04740","Olfactory transduction",34,16,0.913530636877831,1
"path:hsa04360","Axon guidance",141,73,0.917018598204706,1
"path:hsa05204","Chemical carcinogenesis",42,20,0.919999173206254,1
"path:hsa00232","Caffeine metabolism",3,1,0.921484943936864,1
"path:hsa04512","ECM-receptor interaction",69,34,0.926035806793919,1
"path:hsa05120","Epithelial cell signaling in Helicobacter pylori infection",62,30,0.936333711196001,1
"path:hsa00760","Nicotinate and nicotinamide metabolism",29,13,0.936604360393229,1
"path:hsa00600","Sphingolipid metabolism",39,18,0.939277210971487,1
"path:hsa04721","Synaptic vesicle cycle",55,26,0.947059996951203,1
"path:hsa04115","p53 signaling pathway",67,32,0.953303779266828,1
"path:hsa05414","Dilated cardiomyopathy (DCM)",71,34,0.955315089028381,1
"path:hsa05217","Basal cell carcinoma",46,21,0.95758582001398,1
"path:hsa04392","Hippo signaling pathway - multiple species",24,10,0.958659629810431,1
"path:hsa04110","Cell cycle",115,57,0.959409792785406,1
"path:hsa05410","Hypertrophic cardiomyopathy (HCM)",66,31,0.963747530962489,1
"path:hsa00750","Vitamin B6 metabolism",4,1,0.966385592246257,1
"path:hsa04310","Wnt signaling pathway",114,56,0.966521940697773,1
"path:hsa04972","Pancreatic secretion",61,28,0.971511907070721,1
"path:hsa00140","Steroid hormone biosynthesis",27,11,0.972125067238552,1
"path:hsa05226","Gastric cancer",111,53,0.98218361772262,1
"path:hsa05222","Small cell lung cancer",85,39,0.98639089023365,1
"path:hsa04390","Hippo signaling pathway",124,59,0.987718740900147,1
"path:hsa00512","Mucin type O-glycan biosynthesis",25,9,0.990240414112471,1
"path:hsa04974","Protein digestion and absorption",61,26,0.992187073453716,1
"path:hsa04950","Maturity onset diabetes of the young",6,1,0.993840396544957,1
"path:hsa05168","Herpes simplex virus 1 infection",431,219,0.997000332399115,1
"path:hsa04742","Taste transduction",35,11,0.9994222208707,1
