"","Term","Ont","N","DE","P.DE","FDR"
"GO:0002694","regulation of leukocyte activation","BP",416,217,1.19466691544846e-23,2.56566666761712e-19
"GO:0002443","leukocyte mediated immunity","BP",686,319,3.74140609315725e-23,8.0346695850552e-19
"GO:0098588","bounding membrane of organelle","CC",1735,682,1.17878964279607e-22,2.53133287894028e-18
"GO:0098805","whole membrane","CC",1408,571,2.01944510035866e-22,4.33635446400016e-18
"GO:0051249","regulation of lymphocyte activation","BP",352,188,3.72590015350532e-22,8.00025280960662e-18
"GO:0002684","positive regulation of immune system process","BP",875,384,5.77998881699176e-22,1.2410213988963e-17
"GO:0050776","regulation of immune response","BP",839,368,5.11691558519452e-21,1.09860177614126e-16
"GO:0012505","endomembrane system","CC",3534,1246,2.68540338203557e-20,5.76529252089217e-16
"GO:0007166","cell surface receptor signaling pathway","BP",2164,810,6.34875148967368e-20,1.36294996980314e-15
"GO:0048583","regulation of response to stimulus","BP",3218,1145,6.9556831827881e-20,1.49317650884912e-15
"GO:0002521","leukocyte differentiation","BP",421,210,7.11320306477703e-20,1.52692016988504e-15
"GO:0005615","extracellular space","CC",2195,819,1.0113879946624e-19,2.17094433054284e-15
"GO:0007159","leukocyte cell-cell adhesion","BP",282,154,1.38704296567333e-19,2.97714902152123e-15
"GO:0042119","neutrophil activation","BP",452,220,4.00561539818518e-19,8.59725232912484e-15
"GO:0016192","vesicle-mediated transport","BP",1690,651,4.24396542301469e-19,9.10839859087413e-15
"GO:0005576","extracellular region","CC",2795,1007,4.94810244275563e-19,1.06191226523979e-14
"GO:0043230","extracellular organelle","CC",1651,637,7.32071711251795e-19,1.57102589234635e-14
"GO:1903561","extracellular vesicle","CC",1648,636,7.34920123958798e-19,1.57706509400318e-14
"GO:0030098","lymphocyte differentiation","BP",296,158,8.83767760132845e-19,1.89638885969306e-14
"GO:0043299","leukocyte degranulation","BP",481,230,9.52717981986895e-19,2.04424697394928e-14
"GO:0050863","regulation of T cell activation","BP",267,146,1.05611395827801e-18,2.2659981088813e-14
"GO:0070062","extracellular exosome","CC",1636,631,1.21903828872947e-18,2.61544664846907e-14
"GO:0036230","granulocyte activation","BP",458,221,1.21972373567896e-18,2.61679530252564e-14
"GO:0006952","defense response","BP",1225,493,1.48357287846443e-18,3.18270889616975e-14
"GO:0043312","neutrophil degranulation","BP",439,213,2.37464288837198e-18,5.09408392413556e-14
"GO:0002283","neutrophil activation involved in immune response","BP",442,214,2.68694409377156e-18,5.76376377554938e-14
"GO:0002275","myeloid cell activation involved in immune response","BP",487,231,2.72506112534826e-18,5.84525611387201e-14
"GO:0005924","cell-substrate adherens junction","CC",352,179,3.32575220826449e-18,7.13340591150651e-14
"GO:0005925","focal adhesion","CC",352,179,3.32575220826449e-18,7.13340591150651e-14
"GO:0030055","cell-substrate junction","CC",355,180,3.93788682174853e-18,8.44558586660408e-14
"GO:0032940","secretion by cell","BP",1195,481,4.02345825573295e-18,8.62870857524489e-14
"GO:0046903","secretion","BP",1281,510,4.29178643806753e-18,9.20373601643582e-14
"GO:0065007","biological regulation","BP",8835,2798,4.64119078946057e-18,9.95256952891924e-14
"GO:0044421","extracellular region part","CC",2325,851,7.08023334942023e-18,1.51821443711618e-13
"GO:0012506","vesicle membrane","CC",651,289,1.59894896643412e-17,3.42846637382805e-13
"GO:0030155","regulation of cell adhesion","BP",536,247,1.64452358099153e-17,3.52602301000394e-13
"GO:0002446","neutrophil mediated immunity","BP",451,215,2.0794706354799e-17,4.45838504246891e-13
"GO:0045055","regulated exocytosis","BP",675,297,2.49962465809584e-17,5.35894530449168e-13
"GO:0050778","positive regulation of immune response","BP",665,293,3.31784949570257e-17,7.11280574888718e-13
"GO:0016021","integral component of membrane","CC",3439,1197,3.7333889120124e-17,8.00326581068098e-13
"GO:0002444","myeloid leukocyte mediated immunity","BP",496,231,4.13759170571605e-17,8.86934158037293e-13
"GO:0030659","cytoplasmic vesicle membrane","CC",630,280,4.36340297874589e-17,9.35295428494181e-13
"GO:0098552","side of membrane","CC",409,198,5.21833277840581e-17,1.1184974477235e-12
"GO:0031224","intrinsic component of membrane","CC",3537,1226,5.93093718471266e-17,1.27117776679946e-12
"GO:0006887","exocytosis","BP",769,329,6.59940785943865e-17,1.41438509243489e-12
"GO:0038023","signaling receptor activity","MF",699,304,7.37172091878654e-17,1.57983351010514e-12
"GO:0046651","lymphocyte proliferation","BP",223,124,7.58340820030789e-17,1.62512437732598e-12
"GO:0050867","positive regulation of cell activation","BP",273,144,1.22106460082688e-16,2.61661933311192e-12
"GO:0070661","leukocyte proliferation","BP",239,130,1.50167281890575e-16,3.21778451635125e-12
"GO:0032943","mononuclear cell proliferation","BP",225,124,1.94340839253362e-16,4.16414116268178e-12
"GO:0050789","regulation of biological process","BP",8327,2639,4.66349033788081e-16,9.99199439794343e-12
"GO:0060089","molecular transducer activity","MF",744,317,5.06339503566372e-16,1.08483238639095e-11
"GO:0035556","intracellular signal transduction","BP",2284,827,5.93071884783017e-16,1.27059720595914e-11
"GO:1903037","regulation of leukocyte cell-cell adhesion","BP",252,134,6.00349156613072e-16,1.28612799821218e-11
"GO:0001816","cytokine production","BP",627,275,6.69273262246628e-16,1.43371718238473e-11
"GO:0006954","inflammatory response","BP",566,253,6.6953819332915e-16,1.43421776393037e-11
"GO:0002764","immune response-regulating signaling pathway","BP",494,226,1.11956630989615e-15,2.39811103579756e-11
"GO:0050794","regulation of cellular process","BP",7815,2489,1.1977681719077e-15,2.56549964740909e-11
"GO:0030141","secretory granule","CC",670,289,1.64546848131369e-15,3.52426439327766e-11
"GO:0040011","locomotion","BP",1331,515,1.69812700686075e-15,3.63687861059366e-11
"GO:0042113","B cell activation","BP",201,112,1.95486947935983e-15,4.18654847699702e-11
"GO:0009897","external side of plasma membrane","CC",243,129,2.49485778026079e-15,5.34273793642849e-11
"GO:0048584","positive regulation of response to stimulus","BP",1830,677,3.34665204610474e-15,7.16652069152868e-11
"GO:0051179","localization","BP",5054,1674,4.03179725777538e-15,8.63328746807442e-11
"GO:0016477","cell migration","BP",1059,422,4.14566936802778e-15,8.87670725082108e-11
"GO:0002696","positive regulation of leukocyte activation","BP",262,136,4.68944452077031e-15,1.00405696634213e-10
"GO:0002757","immune response-activating signal transduction","BP",462,212,5.99871974629686e-15,1.28432589768216e-10
"GO:0098609","cell-cell adhesion","BP",611,266,6.13579173234247e-15,1.3136116519772e-10
"GO:0022610","biological adhesion","BP",1026,410,6.38001112160367e-15,1.36583278091291e-10
"GO:0022407","regulation of cell-cell adhesion","BP",327,161,7.06841298512512e-15,1.51313516772573e-10
"GO:0007155","cell adhesion","BP",1023,408,1.07330562035392e-14,2.29751801092961e-10
"GO:0009986","cell surface","CC",591,258,1.08528394089208e-14,2.3230502754795e-10
"GO:0002520","immune system development","BP",797,330,1.47508024404267e-14,3.15726175434892e-10
"GO:0050670","regulation of lymphocyte proliferation","BP",177,100,1.8845825559849e-14,4.03357204457449e-10
"GO:0048870","cell motility","BP",1166,455,1.92746836696725e-14,4.1251677989833e-10
"GO:0051674","localization of cell","BP",1166,455,1.92746836696725e-14,4.1251677989833e-10
"GO:0005912","adherens junction","CC",461,210,2.05477138568108e-14,4.39721076535751e-10
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","BP",354,170,2.22012055345397e-14,4.75083597233614e-10
"GO:0030667","secretory granule membrane","CC",261,134,2.27519197184471e-14,4.8684557813533e-10
"GO:0051251","positive regulation of lymphocyte activation","BP",231,122,2.34580336150975e-14,5.01931545262242e-10
"GO:0050900","leukocyte migration","BP",331,161,2.72826608351842e-14,5.83739811229601e-10
"GO:0099503","secretory vesicle","CC",783,324,2.88557329668508e-14,6.17368406825773e-10
"GO:0032944","regulation of mononuclear cell proliferation","BP",178,100,3.08190186281617e-14,6.59342084530892e-10
"GO:0006909","phagocytosis","BP",225,119,4.28247722361078e-14,9.16150352447053e-10
"GO:0048518","positive regulation of biological process","BP",4622,1536,4.59021164008975e-14,9.81938074048e-10
"GO:0030217","T cell differentiation","BP",211,113,6.07867713973021e-14,1.30028982695969e-09
"GO:0048534","hematopoietic or lymphoid organ development","BP",747,310,6.98512062173014e-14,1.49411730098808e-09
"GO:0070161","anchoring junction","CC",474,213,7.46724796683751e-14,1.59716966762687e-09
"GO:0030097","hemopoiesis","BP",719,300,8.13847208280204e-14,1.7406564090697e-09
"GO:0070663","regulation of leukocyte proliferation","BP",185,102,8.78791393687346e-14,1.87947115367913e-09
"GO:0005887","integral component of plasma membrane","CC",1033,407,1.03180566629594e-13,2.2066195979405e-09
"GO:0006810","transport","BP",3955,1331,1.11490787002862e-13,2.3842304800562e-09
"GO:0071310","cellular response to organic substance","BP",1998,722,1.23676792290054e-13,2.64470452633051e-09
"GO:0070887","cellular response to chemical stimulus","BP",2425,857,1.44167098143514e-13,3.08272505960276e-09
"GO:0051239","regulation of multicellular organismal process","BP",2274,809,1.62493838294248e-13,3.47444325040761e-09
"GO:0002253","activation of immune response","BP",517,227,2.2300072881258e-13,4.76797858274177e-09
"GO:0001817","regulation of cytokine production","BP",565,244,2.49018938946561e-13,5.32402491467747e-09
"GO:0051240","positive regulation of multicellular organismal process","BP",1286,489,3.06631426517491e-13,6.55547326751744e-09
"GO:0005102","signaling receptor binding","MF",1034,405,3.32661246556705e-13,7.11163212888923e-09
"GO:0002429","immune response-activating cell surface receptor signaling pathway","BP",323,155,3.40372775853487e-13,7.27614882942e-09
"GO:0005575","cellular_component","CC",13188,3946,3.49456788910671e-13,7.46998831975451e-09
"GO:0050870","positive regulation of T cell activation","BP",176,97,3.66985938146152e-13,7.844324427874e-09
"GO:0006928","movement of cell or subcellular component","BP",1513,562,5.4699399171255e-13,1.1691449578864e-08
"GO:0051234","establishment of localization","BP",4059,1357,5.88253204980061e-13,1.25727357500388e-08
"GO:0031226","intrinsic component of plasma membrane","CC",1089,422,6.61414231128903e-13,1.41357449476869e-08
"GO:0065009","regulation of molecular function","BP",2304,814,7.99641838586751e-13,1.70891457324375e-08
"GO:0022409","positive regulation of cell-cell adhesion","BP",215,112,8.97598212956472e-13,1.91816738108798e-08
"GO:0005623","cell","CC",12405,3741,1.16140532835443e-12,2.48180704616059e-08
"GO:0006950","response to stress","BP",3095,1059,1.40882818567219e-12,3.01038406714433e-08
"GO:0006613","cotranslational protein targeting to membrane","BP",74,51,1.42577758669108e-12,3.04645896948283e-08
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","BP",189,101,1.55612258023035e-12,3.32481150492017e-08
"GO:0005764","lysosome","CC",591,250,1.89716186701644e-12,4.05328632888062e-08
"GO:0004888","transmembrane signaling receptor activity","MF",538,231,2.25814566245388e-12,4.82430239326648e-08
"GO:0000323","lytic vacuole","CC",592,250,2.35544090761425e-12,5.03192841093633e-08
"GO:0044464","cell part","CC",12368,3729,2.72541655207737e-12,5.82203483854767e-08
"GO:0045785","positive regulation of cell adhesion","BP",322,152,2.96499728703868e-12,6.33353070484334e-08
"GO:0009966","regulation of signal transduction","BP",2402,841,2.97248438362181e-12,6.34922664341619e-08
"GO:0005737","cytoplasm","CC",9180,2851,2.99871456854815e-12,6.404954446962e-08
"GO:0009605","response to external stimulus","BP",1713,622,3.47706982429217e-12,7.42632573072322e-08
"GO:0046631","alpha-beta T cell activation","BP",124,73,4.12838751247058e-12,8.81699721038341e-08
"GO:0030334","regulation of cell migration","BP",650,269,4.99303433006385e-12,1.06631241152844e-07
"GO:0006897","endocytosis","BP",576,243,5.48235447988669e-12,1.1707567991798e-07
"GO:0048522","positive regulation of cellular process","BP",4081,1355,6.87604925008382e-12,1.4683115568629e-07
"GO:0010033","response to organic substance","BP",2439,850,7.04781642094302e-12,1.50492024036396e-07
"GO:0010646","regulation of cell communication","BP",2655,917,8.10261504615408e-12,1.73007036465482e-07
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane","BP",70,48,8.68088887693587e-12,1.85345658411458e-07
"GO:0034097","response to cytokine","BP",929,363,9.18993128482252e-12,1.96205032930961e-07
"GO:0023051","regulation of signaling","BP",2692,928,9.52561560876976e-12,2.03362367631626e-07
"GO:0002285","lymphocyte activation involved in immune response","BP",147,82,1.03889566585768e-11,2.21783446747297e-07
"GO:0002449","lymphocyte mediated immunity","BP",217,110,1.36166569421824e-11,2.90674775744767e-07
"GO:0005773","vacuole","CC",673,275,1.52274063351987e-11,3.2504421563115e-07
"GO:0098791","Golgi subcompartment","CC",729,294,1.73196986179828e-11,3.69688967000843e-07
"GO:0030054","cell junction","CC",979,378,2.10564028095556e-11,4.49427861567154e-07
"GO:0042221","response to chemical","BP",3216,1087,2.28621742998208e-11,4.87947386081076e-07
"GO:0007264","small GTPase mediated signal transduction","BP",487,209,2.74171432215653e-11,5.85136670634647e-07
"GO:0009611","response to wounding","BP",499,213,3.22039176056447e-11,6.87263805622064e-07
"GO:0032609","interferon-gamma production","BP",89,56,3.29367533429431e-11,7.02870316338405e-07
"GO:2000145","regulation of cell motility","BP",695,281,3.59549403091918e-11,7.67242471257843e-07
"GO:0045121","membrane raft","CC",262,126,4.63863239047825e-11,9.89791379480249e-07
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",223,111,4.73207508768035e-11,1.00968286145836e-06
"GO:0032501","multicellular organismal process","BP",4998,1623,5.12052327659985e-11,1.09251484629534e-06
"GO:0002683","negative regulation of immune system process","BP",351,159,5.38119974005637e-11,1.14807896454103e-06
"GO:0048731","system development","BP",3334,1120,5.6746687906128e-11,1.21063383978933e-06
"GO:0098857","membrane microdomain","CC",263,126,6.38088161480931e-11,1.36123347488727e-06
"GO:0040012","regulation of locomotion","BP",748,298,6.39654599894977e-11,1.36451119249596e-06
"GO:0051270","regulation of cellular component movement","BP",754,299,1.08845881990754e-10,2.32179150874477e-06
"GO:0044444","cytoplasmic part","CC",7892,2468,1.2485085325756e-10,2.66306869998376e-06
"GO:0045087","innate immune response","BP",715,285,1.60369500102893e-10,3.4205210676946e-06
"GO:0031090","organelle membrane","CC",2460,846,1.99224252324977e-10,4.2490548535871e-06
"GO:0005794","Golgi apparatus","CC",1269,468,2.1685493721265e-10,4.62486524593418e-06
"GO:0005768","endosome","CC",773,304,2.22788278360316e-10,4.75118282431211e-06
"GO:0042060","wound healing","BP",412,179,2.29177175658292e-10,4.88720327091307e-06
"GO:0044431","Golgi apparatus part","CC",791,310,2.30488533657646e-10,4.91493749171563e-06
"GO:0098589","membrane region","CC",270,127,2.44413104819049e-10,5.21162063405657e-06
"GO:0008283","cell proliferation","BP",1406,512,2.48621123162051e-10,5.30109958806126e-06
"GO:1902531","regulation of intracellular signal transduction","BP",1503,543,2.6922360129215e-10,5.74011640314993e-06
"GO:0050793","regulation of developmental process","BP",1882,663,3.45175184129384e-10,7.35913492563847e-06
"GO:0050671","positive regulation of lymphocyte proliferation","BP",109,63,3.50866734823794e-10,7.48012791970847e-06
"GO:0030154","cell differentiation","BP",2870,971,3.55410673558645e-10,7.5766447389232e-06
"GO:0030139","endocytic vesicle","CC",250,119,3.58116506874678e-10,7.6339695770475e-06
"GO:0008219","cell death","BP",1682,599,4.16451817606533e-10,8.87708694410085e-06
"GO:0050790","regulation of catalytic activity","BP",1826,644,5.30213590662796e-10,1.13015026849775e-05
"GO:0050866","negative regulation of cell activation","BP",156,82,5.60711810852719e-10,1.19510115365149e-05
"GO:0032946","positive regulation of mononuclear cell proliferation","BP",110,63,5.89249323204367e-10,1.25586708254547e-05
"GO:0048869","cellular developmental process","BP",3030,1018,6.57851067736901e-10,1.40201219556088e-05
"GO:0000139","Golgi membrane","CC",641,257,6.82000736206597e-10,1.45341176892988e-05
"GO:0019899","enzyme binding","MF",1876,659,6.93175405676576e-10,1.47715678949678e-05
"GO:0007265","Ras protein signal transduction","BP",386,168,7.00139362979696e-10,1.49192696857343e-05
"GO:0071345","cellular response to cytokine stimulus","BP",858,330,7.35559151083379e-10,1.56732943912846e-05
"GO:0002695","negative regulation of leukocyte activation","BP",142,76,8.01877902029998e-10,1.70856124585532e-05
"GO:0050854","regulation of antigen receptor-mediated signaling pathway","BP",59,40,8.10736544161085e-10,1.72735528098961e-05
"GO:0045047","protein targeting to ER","BP",83,51,8.47867346664902e-10,1.80638138206957e-05
"GO:0009987","cellular process","BP",11656,3520,8.6426752825474e-10,1.8412355421939e-05
"GO:0050851","antigen receptor-mediated signaling pathway","BP",222,107,1.13340660211864e-09,2.41449608449333e-05
"GO:0031252","cell leading edge","CC",341,151,1.20001611054362e-09,2.55627431868002e-05
"GO:0072599","establishment of protein localization to endoplasmic reticulum","BP",86,52,1.32203106818675e-09,2.81605837834459e-05
"GO:0044093","positive regulation of molecular function","BP",1417,511,1.34346924953832e-09,2.86158950151663e-05
"GO:0098657","import into cell","BP",663,263,1.47081420370232e-09,3.13268717246556e-05
"GO:0042098","T cell proliferation","BP",161,83,1.51775300117566e-09,3.23251034190393e-05
"GO:0006612","protein targeting to membrane","BP",154,80,1.87754192661002e-09,3.99860104110137e-05
"GO:0032502","developmental process","BP",4426,1437,1.93811716643658e-09,4.12741431764335e-05
"GO:0001906","cell killing","BP",127,69,2.05534218608853e-09,4.37685118527552e-05
"GO:0032729","positive regulation of interferon-gamma production","BP",56,38,2.06857400914561e-09,4.40482149507467e-05
"GO:0032649","regulation of interferon-gamma production","BP",80,49,2.11759166548074e-09,4.50898793330814e-05
"GO:0048856","anatomical structure development","BP",4119,1344,2.3107228724394e-09,4.91999113999797e-05
"GO:0022626","cytosolic ribosome","CC",78,48,2.46606410810339e-09,5.25049709256292e-05
"GO:0070665","positive regulation of leukocyte proliferation","BP",113,63,2.60144982888374e-09,5.53848668569348e-05
"GO:2000026","regulation of multicellular organismal development","BP",1483,530,2.87513783152885e-09,6.12088092954178e-05
"GO:0010941","regulation of cell death","BP",1290,468,2.95607596562064e-09,6.29289451561322e-05
"GO:0045595","regulation of cell differentiation","BP",1310,474,3.47890432198597e-09,7.40554363021153e-05
"GO:0032879","regulation of localization","BP",2042,706,3.5903292997855e-09,7.64237494752343e-05
"GO:0031343","positive regulation of cell killing","BP",59,39,4.05501949300268e-09,8.63110899085621e-05
"GO:0065008","regulation of biological quality","BP",2988,998,4.44991241693578e-09,9.47119358820611e-05
"GO:0001819","positive regulation of cytokine production","BP",375,161,5.15627444833814e-09,0.000109740989083981
"GO:0007275","multicellular organism development","BP",3749,1229,5.17045883649941e-09,0.00011003770495838
"GO:1902105","regulation of leukocyte differentiation","BP",219,104,5.34842546545887e-09,0.00011381984233043
"GO:0006915","apoptotic process","BP",1517,539,5.43215557624408e-09,0.000115596270662474
"GO:0009653","anatomical structure morphogenesis","BP",1899,659,6.95591324348859e-09,0.000148014877908194
"GO:0008150","biological_process","BP",12636,3778,7.08539246782718e-09,0.000150762980930427
"GO:1901700","response to oxygen-containing compound","BP",1211,440,7.5232932975707e-09,0.000160073111492412
"GO:0051094","positive regulation of developmental process","BP",981,365,8.32292230531618e-09,0.000177078494967907
"GO:0042129","regulation of T cell proliferation","BP",133,70,9.3627898825525e-09,0.000199193354751305
"GO:0012501","programmed cell death","BP",1576,556,9.77312124647650e-09,0.000207913381397541
"GO:0048519","negative regulation of biological process","BP",4067,1322,1.03730931861757e-08,0.000220666811349517
"GO:0051480","regulation of cytosolic calcium ion concentration","BP",230,107,1.31611302592391e-08,0.000279963562874535
"GO:0007162","negative regulation of cell adhesion","BP",222,104,1.3275028492574e-08,0.000282373131065541
"GO:0101002","ficolin-1-rich granule","CC",170,84,1.61626607548563e-08,0.000343779794255794
"GO:0051050","positive regulation of transport","BP",741,284,1.78688511764229e-08,0.00038005259567134
"GO:0044440","endosomal part","CC",455,187,1.7881112549914e-08,0.000380295501711571
"GO:0009617","response to bacterium","BP",432,179,1.79334541796905e-08,0.000381390770039478
"GO:0042100","B cell proliferation","BP",70,43,1.79735315216204e-08,0.00038222512133878
"GO:0042127","regulation of cell proliferation","BP",1160,421,1.92376263094e-08,0.00040908812346939
"GO:0050853","B cell receptor signaling pathway","BP",55,36,2.37845900096812e-08,0.00050575552196586
"GO:0035710","CD4-positive, alpha-beta T cell activation","BP",82,48,2.48126719611173e-08,0.000527591843909237
"GO:0030183","B cell differentiation","BP",101,56,2.56158452364308e-08,0.000544644101416992
"GO:0048513","animal organ development","BP",2407,812,3.06466375591289e-08,0.00065157816114464
"GO:0002697","regulation of immune effector process","BP",338,145,3.14993139521352e-08,0.000669675414622394
"GO:0046632","alpha-beta T cell differentiation","BP",90,51,4.06872073544572e-08,0.000864969341148405
"GO:0070972","protein localization to endoplasmic reticulum","BP",107,58,4.33600049754602e-08,0.000921746985768333
"GO:0030666","endocytic vesicle membrane","CC",132,68,4.64596010372481e-08,0.000987591739248783
"GO:0010008","endosome membrane","CC",417,172,4.96836994937108e-08,0.00105607671643832
"GO:0002286","T cell activation involved in immune response","BP",81,47,5.06140858590128e-08,0.00107580239493332
"GO:0042981","regulation of apoptotic process","BP",1175,423,5.35899593171366e-08,0.00113900099532642
"GO:0031984","organelle subcompartment","CC",1416,500,5.3840654053886e-08,0.00114427542060724
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP",93,52,5.50157754390062e-08,0.00116919525962976
"GO:0050764","regulation of phagocytosis","BP",79,46,6.04964109641738e-08,0.00128560922939966
"GO:0055074","calcium ion homeostasis","BP",310,134,6.07044413419739e-08,0.00128996937851695
"GO:0043067","regulation of programmed cell death","BP",1192,428,6.30607218399313e-08,0.0013399772783767
"GO:0045619","regulation of lymphocyte differentiation","BP",143,72,6.37816958284539e-08,0.00135523347296299
"GO:0030036","actin cytoskeleton organization","BP",526,209,6.37997527669074e-08,0.00135555334703848
"GO:0009967","positive regulation of signal transduction","BP",1289,459,6.43730739987245e-08,0.0013676703301769
"GO:0051056","regulation of small GTPase mediated signal transduction","BP",288,126,6.54796243942551e-08,0.00139111462025595
"GO:0005765","lysosomal membrane","CC",322,138,7.24285767031202e-08,0.00153867268348108
"GO:0002573","myeloid leukocyte differentiation","BP",159,78,7.69330127914657e-08,0.00163428799072911
"GO:0048523","negative regulation of cellular process","BP",3602,1173,7.77250924847986e-08,0.00165103641456209
"GO:0042330","taxis","BP",466,188,8.25519996228068e-08,0.00175348702398804
"GO:0098852","lytic vacuole membrane","CC",323,138,9.06184679328523e-08,0.00192473625889378
"GO:0009607","response to biotic stimulus","BP",716,272,9.16449423895724e-08,0.00194644693141213
"GO:0006935","chemotaxis","BP",464,187,9.75047912379944e-08,0.00207080675631253
"GO:0045730","respiratory burst","BP",32,24,1.00128855002122e-07,0.00212643649368006
"GO:0006874","cellular calcium ion homeostasis","BP",301,130,1.01008186173158e-07,0.00214500984157319
"GO:0051250","negative regulation of lymphocyte activation","BP",119,62,1.05329335509188e-07,0.00223666843953761
"GO:0005774","vacuolar membrane","CC",372,155,1.05841493229824e-07,0.00224743826724207
"GO:0030888","regulation of B cell proliferation","BP",55,35,1.0729510085737e-07,0.00227819687650454
"GO:0098797","plasma membrane protein complex","CC",401,165,1.1240724281165e-07,0.00238663057937695
"GO:0031341","regulation of cell killing","BP",85,48,1.17189290713441e-07,0.00248804583113706
"GO:0007204","positive regulation of cytosolic calcium ion concentration","BP",211,97,1.26472354623524e-07,0.00268500808865741
"GO:1902107","positive regulation of leukocyte differentiation","BP",122,63,1.27809800585759e-07,0.00271327425663508
"GO:0044437","vacuolar part","CC",492,196,1.31483465094357e-07,0.00279113099702301
"GO:0023056","positive regulation of signaling","BP",1406,494,1.34265690682926e-07,0.00285005781612646
"GO:0008289","lipid binding","MF",560,219,1.34950626183273e-07,0.00286446199136616
"GO:0001909","leukocyte mediated cytotoxicity","BP",95,52,1.40491353877916e-07,0.00298192898605877
"GO:0045335","phagocytic vesicle","CC",125,64,1.53585704760383e-07,0.00325970299783438
"GO:1902533","positive regulation of intracellular signal transduction","BP",820,305,1.5686665883063e-07,0.00332918110036247
"GO:0043235","receptor complex","CC",275,120,1.5876676075735e-07,0.00336934819679248
"GO:0010647","positive regulation of cell communication","BP",1399,491,1.72130007324012e-07,0.00365277088542286
"GO:0050864","regulation of B cell activation","BP",103,55,1.87829514928527e-07,0.00398574230678334
"GO:0048468","cell development","BP",1552,539,1.91318755170527e-07,0.00405959266596342
"GO:0035091","phosphatidylinositol binding","MF",213,97,2.20107474184417e-07,0.00467024038724497
"GO:0043085","positive regulation of catalytic activity","BP",1148,410,2.42783262741458e-07,0.00515113248558552
"GO:0001818","negative regulation of cytokine production","BP",227,102,2.42955267121889e-07,0.00515453894725799
"GO:0042287","MHC protein binding","MF",29,22,2.4714647694635e-07,0.00524321250841681
"GO:0050856","regulation of T cell receptor signaling pathway","BP",37,26,2.55080709230987e-07,0.00541128216562616
"GO:0051707","response to other organism","BP",687,260,2.57328135015784e-07,0.00545870172808982
"GO:0010942","positive regulation of cell death","BP",576,223,2.59269976056226e-07,0.00549963473210466
"GO:0030029","actin filament-based process","BP",585,226,2.61319603750777e-07,0.00554285011515774
"GO:0032635","interleukin-6 production","BP",119,61,2.82328398884088e-07,0.00598818534033151
"GO:0043207","response to external biotic stimulus","BP",688,260,2.96443879989997e-07,0.00628727825070785
"GO:0019900","kinase binding","MF",616,236,3.07909913267941e-07,0.0065301534405865
